dept,dept_clean,grant_dept,grant_dept_clean,corp,corp_clean,project,project_clean,est_date,est_date_clean,district,district_clean,district_code,taluk,taluk_clean,constituency,constituency_clean,gram_panchayat,gram_panchayat_clean,village,village_clean,habitation,habitation_clean,maintenance_agency,maintenance_agency_clean,op_duration,op_duration_clean,op_duration_from,op_duration_to,rr_no,rr_no_clean,latitude,latitude_clean,longitude,longitude_clean,water_source,water_source_clean,water_source_code,borewell_capacity,borewell_capacity_clean,borewell_capacity_code,unit_capacity,unit_capacity_clean,unit_capacity_code,cost_unit,cost_unit_clean,cost_unit_code,civil_work_details,civil_work_details_clean,cost_civil_work,cost_civil_work_clean,cost_civil_work_code,cost_other_work,cost_other_work_clean,cost_other_work_code,tender_called,tender_called_clean,tender_called_code,maint_agreement,maint_agreement_clean,maint_agreement_code,maint_duration,maint_duration_clean,maint_duration_code,num_bidders,num_bidders_clean,num_bidders_code,install_contract,install_contract_clean,install_contract_code,agency_details,agency_details_clean,accreditation,accreditation_clean,accreditation_code,shutdown_reason,shutdown_reason_clean,num_repairs,num_repairs_clean,num_repairs_code,repair_time_hrs,repair_time_hrs_clean,repair_time_hrs_code,elec_conn_month,elec_conn_month_clean,remarks,remarks_clean,missing_count,corrupted_vars_list,flag_combined,flag_comma_split,flag_decimal_space,flag_six_numbers
Department,Department,Grant Department,Grant Department,Corporation/Board,Corporation/Board,Project,Project,Established Month-Year (e.g. March-2020),Established Month-Year (cleaned),District,District,District (categorical),Taluk,Taluk,Constituency,Constituency,Gram Panchayat,Gram Panchayat,village,village,Habitation ,Habitation ,Maintenance of the existing unit (Agency/Gram Panchayat),Maintenance of the existing unit (Agency/Gram Panchayat),"Duration of Operation&Maintenance (if handed to GramPanchayat, year handed over)",Operation duration - Cleaned,Operation duration - From,Operation duration - To,R.R. No.,R.R. No.,Latitude ,Latitude (cleaned),Longitude,Longitude (cleaned),"Water Source (Open Well/Borewell/Surface Water/PWS, RWS/Others)","Water Source (Open Well/Borewell/Surface Water/PWS, RWS/Others)","Water Source (Open Well/Borewell/Surface Water/PWS, RWS/Others)",Capacity of water borewell (gallons per hour),Capacity of water borewell (gallons per hour),Capacity of water borewell (gallons per hour),Unit capacity (per hour/litre),Unit capacity (per hour/litre),Unit capacity (per hour/litre),Cost per RO unit (in Rs.),Cost per RO unit (in Rs.),Cost per RO unit (in Rs.),"Details of Civil Works (Puff Cabin, Cement Building)","Details of Civil Works (Puff Cabin, Cement Building)",Cost of Civil Works (in Rs.),Cost of Civil Works (in Rs.),Cost of Civil Works (in Rs.),Cost of other works including motor (in Rs.),Cost of other works including motor (in Rs.),Cost of other works including motor (in Rs.),Whether tender called (Yes/No),Whether tender called (Yes/No),Whether tender called,Is there an agreement for maintenance?(Yes/No),Is there an agreement for maintenance?(Yes/No),Is there an agreement for maintenance?,Duration of the Maintenance agreement (Mention in Months),Duration of maintenance agreement (in months),Duration of maintenance agreement (in months),No. of Bidders,No. of Bidders,Number of bidders,Whether it is installed and maintained through piecework contract (Yes/No),Whether it is installed and maintained through piecework contract (Yes/No),Whether installed and maintained through piecework contract,"Agency Name, Telephone Number and Address","Agency Name, Telephone Number and Address","Does the company have ISO, BIS, other accreditation (Yes/No)","Does the company have ISO, BIS, other accreditation (Yes/No)","Does the company have ISO, BIS, other accreditation",Specify the reason in case of permanent shutdown (e.g. borewell not working),Specify the reason in case of permanent shutdown (e.g. borewell not working),How many times has the RO unit been repaired since installation? (Helpline Data),How many times has the RO unit been repaired since installation? (Helpline Data),How many times has the RO unit been repaired since installation? (Helpline Data),Time taken to repair/restore supply (in hours),Time taken to repair/restore supply (in hours),Time taken to repair/restore supply (in hours),Month of Electricity Connection (e.g. March-2020),Month of Electricity Connection (cleaned),Remarks,Remarks,No. of missing values for a observation,variables with mojibake,Flag: Combined lat/long in one cell,Flag: Lat/long separated by comma,Flag: Two decimal numbers separated by space,Flag: Six numbers (DMS format)
RDW&SD,RDW&SD,RDPR,RDPR,RDW&SD,RDW&SD,SVS,SVS,01mar2017,01mar2017,KODAGU,kodagu,kodagu,MADIKERI,MADIKERI,VIRAJPET,VIRAJPET,Yemmemadu,Yemmemadu,Yemmemadu,Yemmemadu,Yemmemadu,Yemmemadu,GRAMA PANCHATH,GRAMA PANCHATH,2019,2019,2019,,44378,44378,12.4585301,12.4585301,75.7673782,75.7673782,BOREWELL,borewell,borewell,211,211,211,500 ltr,500,500,860000,860000,860000,PUFF CABIN,puff cabin,199000,199000,199000,661000,661000,661000,Yes,yes,yes,Yes,yes,yes,60,60,60,1,1,1,No,no,no,"M/S ENERGY EQUIPMENTS INDIA PVT.LTD., NO., 10TH B MAIN ROAD JAYNAGAR 4TH BLOCK BANGALORE -11, Mobile Number-9611184223","M/S ENERGY EQUIPMENTS INDIA PVT.LTD., NO., 10TH B MAIN ROAD JAYNAGAR 4TH BLOCK BANGALORE -11, Mobile Number-9611184223",Yes,yes,yes,,,1,1,1,24 hrs to 48 Hrs,24 hrs to 48 hrs,36,01jun2017,01jun2017,,,2,,0,0,0,0
RDW&SD,RDW&SD,RDPR,RDPR,RDW&SD,RDW&SD,SVS,SVS,02mar2017,02mar2017,KODAGU,kodagu,kodagu,MADIKERI,MADIKERI,MADIKERI,MADIKERI,Kanthur Murnad,Kanthur Murnad,Kanthur Murnad,Kanthur Murnad,Kanthur Murnad,Kanthur Murnad,GRAMA PANCHATH,GRAMA PANCHATH,2019,2019,2019,,44282,44282,12.3396747,12.3396747,75.79521680000001,75.79521680000001,BOREWELL,borewell,borewell,528,528,528,1000 ltr,1000,1000,869000,869000,869000,PUFF CABIN,puff cabin,199000,199000,199000,670000,670000,670000,Yes,yes,yes,Yes,yes,yes,60,60,60,1,1,1,No,no,no,"M/S ENERGY EQUIPMENTS INDIA PVT.LTD., NO., 10TH B MAIN ROAD JAYNAGAR 4TH BLOCK BANGALORE -11, Mobile Number-9611184223","M/S ENERGY EQUIPMENTS INDIA PVT.LTD., NO., 10TH B MAIN ROAD JAYNAGAR 4TH BLOCK BANGALORE -11, Mobile Number-9611184223",Yes,yes,yes,,,0,0,0,24 hrs to 48 Hrs,24 hrs to 48 hrs,36,01jun2017,01jun2017,,,2,,0,0,0,0
RDW&SD,RDW&SD,RDPR,RDPR,RDW&SD,RDW&SD,SVS,SVS,03mar2017,03mar2017,KODAGU,kodagu,kodagu,MADIKERI,MADIKERI,VIRAJPET,VIRAJPET,Kundacheri,Kundacheri,Kopatti,Kopatti,Kopatti,Kopatti,GRAMA PANCHATH,GRAMA PANCHATH,2019,2019,2019,,44376,44376,12.2557032,12.2557032,75.6431034,75.6431034,BOREWELL,borewell,borewell,211,211,211,500 ltr,500,500,860000,860000,860000,PUFF CABIN,puff cabin,199000,199000,199000,661000,661000,661000,Yes,yes,yes,Yes,yes,yes,60,60,60,1,1,1,No,no,no,"M/S ENERGY EQUIPMENTS INDIA PVT.LTD., NO., 10TH B MAIN ROAD JAYNAGAR 4TH BLOCK BANGALORE -11, Mobile Number-9611184223","M/S ENERGY EQUIPMENTS INDIA PVT.LTD., NO., 10TH B MAIN ROAD JAYNAGAR 4TH BLOCK BANGALORE -11, Mobile Number-9611184223",Yes,yes,yes,,,1,1,1,24 hrs to 48 Hrs,24 hrs to 48 hrs,36,01jun2017,01jun2017,,,2,,0,0,0,0
RDW&SD,RDW&SD,RDPR,RDPR,RDW&SD,RDW&SD,SVS,SVS,04mar2017,04mar2017,KODAGU,kodagu,kodagu,MADIKERI,MADIKERI,VIRAJPET,VIRAJPET,Kunjila,Kunjila,Kunjila,Kunjila,Kunjila,Kunjila,GRAMA PANCHATH,GRAMA PANCHATH,2019,2019,2019,,44377,44377,12.3109468,12.3109468,75.6543516,75.6543516,BOREWELL,borewell,borewell,264,264,264,500 ltr,500,500,860000,860000,860000,PUFF CABIN,puff cabin,199000,199000,199000,661000,661000,661000,Yes,yes,yes,Yes,yes,yes,60,60,60,1,1,1,No,no,no,"M/S ENERGY EQUIPMENTS INDIA PVT.LTD., NO., 10TH B MAIN ROAD JAYNAGAR 4TH BLOCK BANGALORE -11, Mobile Number-9611184223","M/S ENERGY EQUIPMENTS INDIA PVT.LTD., NO., 10TH B MAIN ROAD JAYNAGAR 4TH BLOCK BANGALORE -11, Mobile Number-9611184223",Yes,yes,yes,,,1,1,1,24 hrs to 48 Hrs,24 hrs to 48 hrs,36,01jun2017,01jun2017,,,2,,0,0,0,0
RDW&SD,RDW&SD,RDPR,RDPR,RDW&SD,RDW&SD,SVS,SVS,05mar2017,05mar2017,KODAGU,kodagu,kodagu,MADIKERI,MADIKERI,MADIKERI,MADIKERI,Makkandur,Makkandur,Makkandur,Makkandur,Makkandur,Makkandur,GRAMA PANCHATH,GRAMA PANCHATH,2019,2019,2019,,44380,44380,12.37261,12.37261,75.61216829999999,75.61216829999999,BOREWELL,borewell,borewell,238,238,238,500 ltr,500,500,860000,860000,860000,PUFF CABIN,puff cabin,199000,199000,199000,661000,661000,661000,Yes,yes,yes,Yes,yes,yes,60,60,60,1,1,1,No,no,no,"M/S ENERGY EQUIPMENTS INDIA PVT.LTD., NO., 10TH B MAIN ROAD JAYNAGAR 4TH BLOCK BANGALORE -11, Mobile Number-9611184223","M/S ENERGY EQUIPMENTS INDIA PVT.LTD., NO., 10TH B MAIN ROAD JAYNAGAR 4TH BLOCK BANGALORE -11, Mobile Number-9611184223",Yes,yes,yes,,,0,0,0,24 hrs to 48 Hrs,24 hrs to 48 hrs,36,01jun2017,01jun2017,,,2,,0,0,0,0
RDW&SD,RDW&SD,RDPR,RDPR,RDW&SD,RDW&SD,SVS,SVS,06mar2017,06mar2017,KODAGU,kodagu,kodagu,MADIKERI,MADIKERI,MADIKERI,MADIKERI,Margod,Margod,Margod,Margod,Margod,Margod,GRAMA PANCHATH,GRAMA PANCHATH,2019,2019,2019,,44606,44606,12.314455,12.314455,75.7514867,75.7514867,BOREWELL,borewell,borewell,449,449,449,1000 ltr,1000,1000,869000,869000,869000,PUFF CABIN,puff cabin,199000,199000,199000,670000,670000,670000,Yes,yes,yes,Yes,yes,yes,60,60,60,1,1,1,No,no,no,"M/S ENERGY EQUIPMENTS INDIA PVT.LTD., NO., 10TH B MAIN ROAD JAYNAGAR 4TH BLOCK BANGALORE -11, Mobile Number-9611184223","M/S ENERGY EQUIPMENTS INDIA PVT.LTD., NO., 10TH B MAIN ROAD JAYNAGAR 4TH BLOCK BANGALORE -11, Mobile Number-9611184223",Yes,yes,yes,,,0,0,0,24 hrs to 48 Hrs,24 hrs to 48 hrs,36,01jun2017,01jun2017,,,2,,0,0,0,0
RDW&SD,RDW&SD,RDPR,RDPR,RDW&SD,RDW&SD,SVS,SVS,07mar2017,07mar2017,KODAGU,kodagu,kodagu,MADIKERI,MADIKERI,VIRAJPET,VIRAJPET,napoklu,napoklu,Bethu,Bethu,Bethu,Bethu,GRAMA PANCHATH,GRAMA PANCHATH,2019,2019,2019,,44605,44605,12.3066639,12.3066639,75.6873885,75.6873885,BOREWELL,borewell,borewell,528,528,528,1000 ltr,1000,1000,869000,869000,869000,PUFF CABIN,puff cabin,199000,199000,199000,670000,670000,670000,Yes,yes,yes,Yes,yes,yes,60,60,60,1,1,1,No,no,no,"M/S ENERGY EQUIPMENTS INDIA PVT.LTD., NO., 10TH B MAIN ROAD JAYNAGAR 4TH BLOCK BANGALORE -11, Mobile Number-9611184223","M/S ENERGY EQUIPMENTS INDIA PVT.LTD., NO., 10TH B MAIN ROAD JAYNAGAR 4TH BLOCK BANGALORE -11, Mobile Number-9611184223",Yes,yes,yes,,,1,1,1,24 hrs to 48 Hrs,24 hrs to 48 hrs,36,01jun2017,01jun2017,,,2,,0,0,0,0
RDW&SD,RDW&SD,RDPR,RDPR,RDW&SD,RDW&SD,SVS,SVS,08mar2017,08mar2017,KODAGU,kodagu,kodagu,MADIKERI,MADIKERI,VIRAJPET,VIRAJPET,napoklu,napoklu,napoklu,napoklu,napoklu,napoklu,GRAMA PANCHATH,GRAMA PANCHATH,2019,2019,2019,,44375,44375,12.2999817,12.2999817,75.6925217,75.6925217,BOREWELL,borewell,borewell,528,528,528,1000 ltr,1000,1000,869000,869000,869000,PUFF CABIN,puff cabin,199000,199000,199000,670000,670000,670000,Yes,yes,yes,Yes,yes,yes,60,60,60,1,1,1,No,no,no,"M/S ENERGY EQUIPMENTS INDIA PVT.LTD., NO., 10TH B MAIN ROAD JAYNAGAR 4TH BLOCK BANGALORE -11, Mobile Number-9611184223","M/S ENERGY EQUIPMENTS INDIA PVT.LTD., NO., 10TH B MAIN ROAD JAYNAGAR 4TH BLOCK BANGALORE -11, Mobile Number-9611184223",Yes,yes,yes,,,2,2,2,24 hrs to 48 Hrs,24 hrs to 48 hrs,36,01jun2017,01jun2017,,,2,,0,0,0,0
RDW&SD,RDW&SD,RDPR,RDPR,RDW&SD,RDW&SD,SVS,SVS,09mar2017,09mar2017,KODAGU,kodagu,kodagu,MADIKERI,MADIKERI,VIRAJPET,VIRAJPET,Benguru,Benguru,Cherambane,Cherambane,Cherambane,Cherambane,GRAMA PANCHATH,GRAMA PANCHATH,2023,2023,2023,,46946,46946,12.3629683,12.3629683,75.6343883,75.6343883,BOREWELL,borewell,borewell,528,528,528,1000 ltr,1000,1000,1130000,1130000,1130000,PUFF CABIN,puff cabin,250000,250000,250000,880000,880000,880000,Yes,yes,yes,Yes,yes,yes,60,60,60,3,3,3,No,no,no,"M/s.SHIVA JYOTHI ELECTRICALS, HASSAN, Mobile Number-8884607161,7892708991","M/s.SHIVA JYOTHI ELECTRICALS, HASSAN, Mobile Number-8884607161,7892708991",Yes,yes,yes,,,0,0,0,24 hrs to 48 Hrs,24 hrs to 48 hrs,36,01mar2019,01mar2019,,,2,,0,0,0,0
