jjm_village_id,jjm_village,jjm_district,jjm_block,jjm_panchayat_id,jjm_panchayat,lgd_village_id,lgd_village,shrid2,shrug_district,shrug_subdistrict,shrug_village,shrug_place,match_score,match_method
145624,Kotgyal,Bidar,Bhalki,60830,Nittur (b),599888,Kotgiyal,11-29-558-05456-600002,bidar,aurad,kotgyal,kotgyal,100.0,manual
154772,GUNDLAHALLI,Chikkaballapura,Gudibanda,62603,SOMENAHALLI,926163,GUNDLAHALLY(M),11-29-582-05595-623343,chikkaballapura,gauribidanur,gundlahalli,gundlahalli,100.0,manual
664947,NALLARALLAHALLI,Chikkaballapura,Chintamani,299794,MINDIGAL,917236,NALLARALLAHALLI,11-29-582-05599-624067,chikkaballapura,sidlaghatta,nallarallahalli,nallarallahalli,100.0,manual
665126,THOKALAHALLI,Chikkaballapura,Sidlaghatta,62703,THIMMANAYAKANAHALLI,624094,Thokalahalli,11-29-582-05595-623309,chikkaballapura,gauribidanur,thokalahalli,thokalahalli,100.0,manual
155760,YALAGALAHALLI,Chikkaballapura,Sidlaghatta,62704,DIBBURAHALLI,926194,YALAGALAHALLI,11-29-582-05596-623456,chikkaballapura,chikkaballapura,yalagalahalli,yalagalahalli,100.0,manual
170195,Byrapura,Chitradurga,Molakalmuru,65353,Chikkirahalli,605191,Byrapura,11-29-566-05507-605873,chitradurga,hosdurga,byrapura,byrapura,100.0,manual
663987,Doddagatta,Chitradurga,Chitradurga,65227,Turuvanur,605501,Doddagatta,11-29-566-05507-605905,chitradurga,hosdurga,doddagatta,doddagatta,100.0,manual
589825,Garaga,Chitradurga,Holalkere,65327,SHIVAGANGA,605724,Garaga,11-29-566-05507-605984,chitradurga,hosdurga,garaga,garaga,100.0,manual
169566,Halumadenahalli,Chitradurga,Hiriyur,65264,Yelladakere,606150,Haladyamenahalli,11-29-566-05508-606196,chitradurga,hiriyur,halumadenahalli,halumadenahalli,100.0,manual
663963,Hosakere,Chitradurga,Hosdurga,65294,Thandaga,927609,HOSAKERE,11-29-566-05508-606104,chitradurga,hiriyur,hosakere,hosakere,100.0,manual
152553,Ankanahalli,Hassan,Hassan,62285,Ankapura,616188,Ankanahalli,11-29-574-05556-616126,hassan,hassan,ankanahalli,ankanahalli,100.0,manual
151440,Byadarahalli,Hassan,Arsikere,62184,PURALEHALLI,615586,Byadarahalli,11-29-574-05556-616116,hassan,hassan,byadarahalli,byadarahalli,100.0,manual
151902,C. Hosahalli,Hassan,Belur,62221,IBBEDU,615309,C.HOSAHALLI,11-29-574-05557-616323,hassan,alur,c hosahalli,c hosahalli,100.0,manual
151197,Gollarahalli,Hassan,Arsikere,62165,BELAGUMBA,615748,Gollarahalli,11-29-574-05555-615788,hassan,arsikere,gollarahalli,gollarahalli,100.0,manual
152531,Guddenahalli,Hassan,Hassan,62283,Handinakere,616231,Guddenahalli (OG),11-29-574-05555-615835,hassan,arsikere,guddenahalli,guddenahalli,100.0,manual
152913,Hirebelaguli,Hassan,Holenarsipur,62327,Kattebelaguli,616812,Hirebelaguli Hantha,11-29-574-05559-616811,hassan,hole narsipur,hirebelaguli,hirebelaguli,100.0,manual
151762,Kodihalli,Hassan,Belur,62211,Bichodu,615436,Kodihalli,11-29-574-05554-615283,hassan,belur,kodihalli,kodihalli,100.0,manual
150820,Yadiyur,Hassan,Arkalgud,62130,Doddabemmathi,616736,Yadiyur,11-29-574-05556-616053,hassan,hassan,yadiyur,yadiyur,100.0,manual
167164,Kunnur,Haveri,Shiggaon,64622,Kunnoor,603884,Gudageri,11-29-564-05489-603886,haveri,shiggaon,kunnur,kunnur,100.0,manual
637734,Ramapur,Haveri,Hanagal,299956,Aladakatti,924839,RAMAPUR,11-29-564-05492-604219,haveri,haveri,ramapur,ramapur,100.0,manual
153441,HONNAHANAKODU,Kodagu,Somvarpet,62402,Doddamolathe,923949,GEJJEHANAKODU,11-29-576-05567-617902,kodagu,somvarpet,honnahanakodu,honnahanakodu,100.0,manual
153530,V Badaga,Kodagu,Virajpet,62435,BITTANGALA,924037,KANDAGALA,11-29-576-05568-618013,kodagu,virajpet,v badaga,v badaga,100.0,manual
155147,CHANNIGARAYAPURA,Kolar,Malur,62644,Madivala,622219,Channarayapura,11-29-581-05592-622137,kolar,malur,channigarayapura,channigarayapura,100.0,manual
155040,Kurubarahalli,Kolar,Kolar,62630,Doodahasala,622080,Kurubarahalli,11-29-581-05590-621678,kolar,srinivaspur,kurubarahalli,kurubarahalli,100.0,manual
155249,UPASAPURA,Kolar,Malur,62652,Nosagere,622436,Upasapura,11-29-581-05593-622569,kolar,bangarapet,upasapura,upasapura,100.0,manual
155386,VENKATAPURA,Kolar,Malur,62647,HASANDAHALLI,622357,VENKATAPURA,11-29-581-05591-621859,kolar,kolar,venkatapura,venkatapura,100.0,manual
166027,Konapur,Koppal,Kushtagi,64239,Jahagirgudadur,601521,Konapur,11-29-560-05465-601392,koppal,kushtagi,konapur,konapur,100.0,manual
157065,Basavanahalli,Mandya,Malvalli,62885,H.basapura,614697,Basavana Halli,11-29-573-05552-614788,mandya,malavalli,basavanahalli,basavanahalli,100.0,manual
665310,Halagapura,Mandya,Malvalli,62886,Bydarahalli,614776,Halaganadoddi,11-29-573-05552-614781,mandya,malavalli,halagapura,halagapura,100.0,manual
156653,Hemmadahalli,Mandya,Krishnarajpet,62797,Ballekere,926858,HEMMADAHALLY,11-29-573-05546-613495,mandya,krishnarajpet,hemmadahalli,hemmadahalli,100.0,manual
157708,Kenchanahalli,Mandya,Pandavapura,62975,T.S.CHATRA,614083,Kanchanahalli,11-29-573-05548-614159,mandya,pandavapura,kenchanahalli,kenchanahalli,100.0,manual
157095,N.kodihalli,Mandya,Malvalli,62891,T.k.halli,614762,N.KODIHALLI,11-29-573-05551-614523,mandya,maddur,n kodihalli,n kodihalli,100.0,manual
665972,Ragimuddanahalli,Mandya,Pandavapura,62965,Gummanahalli,614127,Moodanahalli,11-29-573-05550-614461,mandya,mandya,ragimuddanahalli,ragimuddanahalli,100.0,manual
142980,HOSAGABBADI,RAMANAGARA,Kanakapura,59963,KAGGALAHALLI,626344,Gabbadi,11-29-584-05608-626345,ramanagara,kanakapura,hosagabbadi,hosagabbadi,100.0,manual
142962,HOSAHALLI,RAMANAGARA,Kanakapura,59959,Arekattedoddi(Kachuvanahalli),626506,Hosahalli,11-29-584-05608-626400,ramanagara,kanakapura,hosahalli,hosahalli,100.0,manual
699918,NAGLAPUR,Raichur,Devadurga,299870,Somanamaradi,600575,NAGLAPUR,11-29-559-05461-600846,raichur,raichur,naglapur,naglapur,100.0,manual
164779,Kumbarkop,Uttara Kannada,Haliyal,64035,Gundolli,602756,Kumbarkop,11-29-563-05480-602813,uttara kannada,haliyal,kumbarkop,kumbarkop,100.0,manual
164790,Malwadi,Uttara Kannada,Haliyal,64036,CHIBBALGERI`,602799,Malawadi,11-29-563-05480-602869,uttara kannada,haliyal,malwadi,malwadi,100.0,manual
589480,SHAKHAPUR,Yadgir,HUNASAGI,62053,Arakera J.,621066,Shakhapur,11-29-580-05587-620923,yadgir,shorapur,shakhapur,shakhapur,100.0,manual
588424,ARISINAKUNTE,BENGALURU RURAL,Devanhalli,59868,NALLURU,938780,ARISHINAKUNTE,11-29-583-05601-624949,bangalore rural,nelamangala,,arasinakunte,91.66666666666669,fuzzy
142797,BANAHALLY,BENGALURU RURAL,Hoskote,59935,NANDAGUDI,625675,Banahalli,11-29-583-05602-625189,bangalore rural,dod ballapur,tharabanahalli,tharabanahalli,100.0,fuzzy
594614,CHIKKA HOSAHALLI,BENGALURU RURAL,Devanhalli,59881,Bettekote,910262,Chikkahosahalli (D),11-29-583-05601-624758,bangalore rural,nelamangala,hosahalli,hosahalli,100.0,fuzzy
594616,CHIKKAMARALLI,BENGALURU RURAL,Devanhalli,59886,BIJJAVARA,910246,ChikkaMurali,11-29-583-05601-624857,bangalore rural,nelamangala,marohalli,marohalli,87.5,fuzzy
142411,DARGAJOGIHALLI,BENGALURU RURAL,Dodballapur,59894,DARGAJOGIHALLI,625247,Dargajogihalli (OG),11-29-583-05603-625396,bangalore rural,devanahalli,jogahalli,jogahalli,88.88888888888889,fuzzy
142209,DINNURU,BENGALURU RURAL,Devanhalli,299517,Alooru Duddanahalli,910230,Dinnur,11-29-583-05603-625319,bangalore rural,devanahalli,gonur,gonur,75.0,fuzzy
142356,G.HOSAHALLY,BENGALURU RURAL,Devanhalli,59886,BIJJAVARA,625320,Gururayana Hosur,11-29-583-05601-624758,bangalore rural,nelamangala,hosahalli,hosahalli,88.88888888888889,fuzzy
142491,MUTHUKADAHALLY,BENGALURU RURAL,Dodballapur,59903,HULIKUNTE,625067,Muttugadahalli,11-29-583-05602-625185,bangalore rural,dod ballapur,muttugadahalli,muttugadahalli,100.0,fuzzy
142316,NAGENAHALLY,BENGALURU RURAL,Devanhalli,59882,G.CHOWDAPANAHALLY,910258,Nagenahalli,11-29-583-05602-625023,bangalore rural,dod ballapur,subraya nagenahalli,subraya nagenahalli,100.0,fuzzy
142441,SRINIVASAPURA,BENGALURU RURAL,Dodballapur,59899,HANABE,625114,Srinivasapura,11-29-583-05601-624756,bangalore rural,nelamangala,srinivasapura,srinivasapura,100.0,fuzzy
142765,VENKATAPURA,BENGALURU RURAL,Hoskote,59932,Lakkondahalli,625605,Venkatapura,11-29-583-05601-624783,bangalore rural,nelamangala,venkatapura,venkatapura,100.0,fuzzy
664350,Chikkahanchinal Puk,Bagalkote,Bilagi,59797,Kollur,598509,Chinvalkoppa PU.K,11-29-556-05443-598430,bagalkot,jamkhandi,hanchinal,hanchinal,100.0,fuzzy
141893,Heggur Rc,Bagalkote,Bilagi,299899,Heggura,598506,Heggur,11-29-556-05448-598928,bagalkot,hungund,gangur,gangur,80.0,fuzzy
141504,HIREMURAMATTI,Bagalkote,Bagalkot,59688,Hiregulabal,598809,Hiremuramatti,11-29-556-05447-598808,bagalkot,bagalkot,chikkmuramatti,chikkmuramatti,84.61538461538461,fuzzy
588589,Lingapur Sr Rc,Bagalkote,Bilagi,299899,Heggura,598507,Lingapur.S.R PU.K,11-29-556-05446-598665,bagalkot,badami,lingapur,lingapur,100.0,fuzzy
141749,Mamatageri,Bagalkote,Badami,59767,Mamtageri,598704,Mamatageri,11-29-556-05446-598661,bagalkot,badami,katageri,katageri,93.33333333333331,fuzzy
702878,GIRENAHALLI,Ballari,Sandur,0,0,924424,GIRENAHALLI,11-29-565-05498-604722,bellary,hospet,nagenahalli,nagenahalli,90.0,fuzzy
665619,Huchenahalli,Ballari,Sandur,299931,H K Halli,917702,HUCHCHENAHALLI,11-29-565-05500-604939,bellary,bellary,meenahalli,meenahalli,88.88888888888889,fuzzy
145106,Jodikasanayakanahalli,Ballari,Sandur,60692,Bommagatta,604980,Jodikasinayakanahalli,11-29-565-05502-605060,bellary,kudligi,sirinayakanahalli,sirinayakanahalli,93.75,fuzzy
143618,Athani Rural,Belagavi,Athni,60054,Athani (Grameen),597300,Athani (Rural) (Part),11-29-555-05434-803024,belgaum,athni,,athni,90.9090909090909,fuzzy
143751,Benakanahalli,Belagavi,Belagavi,60138,Benakanhalli,597799,Benakanahalli (CT),11-29-555-05434-597334,belgaum,athni,adahalli,adahalli,87.5,fuzzy
143954,Budihal,Belagavi,Gokak,60244,Suladhala,597497,Budihal,11-29-555-05433-597134,belgaum,chikodi,budihal,budihal,100.0,fuzzy
143724,Chandur,Belagavi,Belagavi,60125,Sulebhavi,597756,Chandur,11-29-555-05433-597179,belgaum,chikodi,chandur,chandur,100.0,fuzzy
661637,Chikkud,Belagavi,Athni,60084,Saptasagar,597308,Chikkud,11-29-555-05441-598243,belgaum,parasgad,chikkulligeri,chikkulligeri,92.3076923076923,fuzzy
661560,Dharanatti,Belagavi,Belagavi,60141,Dharanatti,597701,Rangadholi,11-29-555-05438-597696,belgaum,belgaum,dharanatti,dharanatti,100.0,fuzzy
144410,Dhupadal,Belagavi,Savadathi,60415,Yakkundi,598228,Dhupdal,11-29-555-05436-597442,belgaum,gokak,dhupadal,dhupadal,100.0,fuzzy
