state,jjm_district,jjm_block,jjm_panchayat_id,jjm_panchayat,jjm_village_id,jjm_village,lgd_village_id,lgd_village,district_from_header,source_file,serial_no,shrid2,state_name,district_name,subdistrict_name,town_name,village_name,place_name,shrid_last6
Karnataka,BENGALURU RURAL,Devanhalli,59868,NALLURU,588424,ARISINAKUNTE,938780,ARISHINAKUNTE,BENGALURU RURAL,BENGALURU RURAL.xls,41,,,,,,,,
Karnataka,BENGALURU RURAL,Hoskote,59935,NANDAGUDI,142797,BANAHALLY,625675,Banahalli,BENGALURU RURAL,BENGALURU RURAL.xls,60,,,,,,,,
Karnataka,BENGALURU RURAL,Devanhalli,59881,Bettekote,594614,CHIKKA HOSAHALLI,910262,Chikkahosahalli (D),BENGALURU RURAL,BENGALURU RURAL.xls,166,,,,,,,,
Karnataka,BENGALURU RURAL,Devanhalli,59886,BIJJAVARA,594616,CHIKKAMARALLI,910246,ChikkaMurali,BENGALURU RURAL,BENGALURU RURAL.xls,177,,,,,,,,
Karnataka,BENGALURU RURAL,Dodballapur,59894,DARGAJOGIHALLI,142411,DARGAJOGIHALLI,625247,Dargajogihalli (OG),BENGALURU RURAL,BENGALURU RURAL.xls,211,,,,,,,,
Karnataka,BENGALURU RURAL,Devanhalli,299517,Alooru Duddanahalli,142209,DINNURU,910230,Dinnur,BENGALURU RURAL,BENGALURU RURAL.xls,226,,,,,,,,
Karnataka,BENGALURU RURAL,Devanhalli,59886,BIJJAVARA,142356,G.HOSAHALLY,625320,Gururayana Hosur,BENGALURU RURAL,BENGALURU RURAL.xls,268,,,,,,,,
Karnataka,BENGALURU RURAL,Dodballapur,59903,HULIKUNTE,142491,MUTHUKADAHALLY,625067,Muttugadahalli,BENGALURU RURAL,BENGALURU RURAL.xls,647,,,,,,,,
Karnataka,BENGALURU RURAL,Devanhalli,59882,G.CHOWDAPANAHALLY,142316,NAGENAHALLY,910258,Nagenahalli,BENGALURU RURAL,BENGALURU RURAL.xls,656,,,,,,,,
Karnataka,BENGALURU RURAL,Dodballapur,59899,HANABE,142441,SRINIVASAPURA,625114,Srinivasapura,BENGALURU RURAL,BENGALURU RURAL.xls,771,,,,,,,,
Karnataka,BENGALURU RURAL,Hoskote,59932,Lakkondahalli,142765,VENKATAPURA,625605,Venkatapura,BENGALURU RURAL,BENGALURU RURAL.xls,860,,,,,,,,
Karnataka,Bagalkote,Bilagi,59797,Kollur,664350,Chikkahanchinal Puk,598509,Chinvalkoppa PU.K,Bagalkote,Bagalkote.xls,105,,,,,,,,
