jjm_village_id,jjm_village,jjm_district,jjm_block,jjm_panchayat_id,jjm_panchayat,lgd_village_id,lgd_village,shrid2,state_name,district_name,subdistrict_name,town_name,village_name,place_name
145624,Kotgyal,Bidar,Bhalki,60830,Nittur (b),599888,Kotgiyal,11-29-558-05456-600002,karnataka,bidar,aurad,,kotgyal,kotgyal
154772,GUNDLAHALLI,Chikkaballapura,Gudibanda,62603,SOMENAHALLI,926163,GUNDLAHALLY(M),11-29-582-05595-623343,karnataka,chikkaballapura,gauribidanur,,gundlahalli,gundlahalli
664947,NALLARALLAHALLI,Chikkaballapura,Chintamani,299794,MINDIGAL,917236,NALLARALLAHALLI,11-29-582-05599-624067,karnataka,chikkaballapura,sidlaghatta,,nallarallahalli,nallarallahalli
665126,THOKALAHALLI,Chikkaballapura,Sidlaghatta,62703,THIMMANAYAKANAHALLI,624094,Thokalahalli,11-29-582-05595-623309,karnataka,chikkaballapura,gauribidanur,,thokalahalli,thokalahalli
155760,YALAGALAHALLI,Chikkaballapura,Sidlaghatta,62704,DIBBURAHALLI,926194,YALAGALAHALLI,11-29-582-05596-623456,karnataka,chikkaballapura,chikkaballapura,,yalagalahalli,yalagalahalli
170195,Byrapura,Chitradurga,Molakalmuru,65353,Chikkirahalli,605191,Byrapura,11-29-566-05507-605873,karnataka,chitradurga,hosdurga,,byrapura,byrapura
663987,Doddagatta,Chitradurga,Chitradurga,65227,Turuvanur,605501,Doddagatta,11-29-566-05507-605905,karnataka,chitradurga,hosdurga,,doddagatta,doddagatta
589825,Garaga,Chitradurga,Holalkere,65327,SHIVAGANGA,605724,Garaga,11-29-566-05507-605984,karnataka,chitradurga,hosdurga,,garaga,garaga
169566,Halumadenahalli,Chitradurga,Hiriyur,65264,Yelladakere,606150,Haladyamenahalli,11-29-566-05508-606196,karnataka,chitradurga,hiriyur,,halumadenahalli,halumadenahalli
663963,Hosakere,Chitradurga,Hosdurga,65294,Thandaga,927609,HOSAKERE,11-29-566-05508-606104,karnataka,chitradurga,hiriyur,,hosakere,hosakere
152553,Ankanahalli,Hassan,Hassan,62285,Ankapura,616188,Ankanahalli,11-29-574-05556-616126,karnataka,hassan,hassan,,ankanahalli,ankanahalli
151440,Byadarahalli,Hassan,Arsikere,62184,PURALEHALLI,615586,Byadarahalli,11-29-574-05556-616116,karnataka,hassan,hassan,,byadarahalli,byadarahalli
151902,C. Hosahalli,Hassan,Belur,62221,IBBEDU,615309,C.HOSAHALLI,11-29-574-05557-616323,karnataka,hassan,alur,,c hosahalli,c hosahalli
151197,Gollarahalli,Hassan,Arsikere,62165,BELAGUMBA,615748,Gollarahalli,11-29-574-05555-615788,karnataka,hassan,arsikere,,gollarahalli,gollarahalli
152531,Guddenahalli,Hassan,Hassan,62283,Handinakere,616231,Guddenahalli (OG),11-29-574-05555-615835,karnataka,hassan,arsikere,,guddenahalli,guddenahalli
152913,Hirebelaguli,Hassan,Holenarsipur,62327,Kattebelaguli,616812,Hirebelaguli Hantha,11-29-574-05559-616811,karnataka,hassan,hole narsipur,,hirebelaguli,hirebelaguli
151762,Kodihalli,Hassan,Belur,62211,Bichodu,615436,Kodihalli,11-29-574-05554-615283,karnataka,hassan,belur,,kodihalli,kodihalli
150820,Yadiyur,Hassan,Arkalgud,62130,Doddabemmathi,616736,Yadiyur,11-29-574-05556-616053,karnataka,hassan,hassan,,yadiyur,yadiyur
167164,Kunnur,Haveri,Shiggaon,64622,Kunnoor,603884,Gudageri,11-29-564-05489-603886,karnataka,haveri,shiggaon,,kunnur,kunnur
