match_score,match_method,jjm_village,lgd_village,shrug_village,shrug_place,jjm_district,shrug_district,jjm_block,shrug_subdistrict,jjm_panchayat,jjm_village_id,lgd_village_id,jjm_panchayat_id,shrid2
75.0,fuzzy,DINNURU,Dinnur,gonur,gonur,BENGALURU RURAL,bangalore rural,Devanhalli,devanahalli,Alooru Duddanahalli,142209,910230,299517,11-29-583-05603-625319
80.0,fuzzy,Heggur Rc,Heggur,gangur,gangur,Bagalkote,bagalkot,Bilagi,hungund,Heggura,141893,598506,299899,11-29-556-05448-598928
84.61538461538461,fuzzy,HIREMURAMATTI,Hiremuramatti,chikkmuramatti,chikkmuramatti,Bagalkote,bagalkot,Bagalkot,bagalkot,Hiregulabal,141504,598809,59688,11-29-556-05447-598808
83.33333333333334,fuzzy,Kakati,Kakati (CT),devanakatti,devanakatti,Belagavi,belgaum,Belagavi,raybag,Kakti,143709,597792,60117,11-29-555-05435-597368
82.35294117647058,fuzzy,LAXMESHWAR,Lagameshwar,dhavaleshwar,dhavaleshwar,Belagavi,belgaum,MUDALAGI,gokak,Sunadholi,662242,597494,60270,11-29-555-05436-597508
80.0,fuzzy,Majati,MAJATI,majalatti,majalatti,Belagavi,belgaum,Hukeri,chikodi,Naganur K D,664305,923726,60294,11-29-555-05433-597229
80.0,fuzzy,Managoan,MANAGOAN,khanagaon,khanagaon,Belagavi,belgaum,Hukeri,gokak,Naganur K D,664307,923727,60294,11-29-555-05436-597489
84.21052631578947,fuzzy,Mattikoppa,Mattikoppa,dastikoppa,dastikoppa,Belagavi,belgaum,Bylahongal,sampgaon,Sutagatti,144580,598039,60491,11-29-555-05440-598076
83.33333333333334,fuzzy,Turanur,Turanur (Part),kamatanur,kamatanur,Belagavi,belgaum,Ramdurg,hukeri,Turanur,144521,598376,60470,11-29-555-05437-597571
75.0,fuzzy,Bande Hosur,AMANI BAIRATIKHANE,solur,solur,Bengaluru Urban,bangalore,Bengaluru East,anekal,Kannuru,665183,938226,61437,11-29-572-05545-613332
84.21052631578947,fuzzy,Chikka Gubbi,Chikkagubbi (OG),,chikkabidarakallu,Bengaluru Urban,bangalore,Bengaluru East,bangalore north,Kannuru,148441,613125,61437,11-29-572-05542-612952
83.33333333333334,fuzzy,Chikkagollarahatti,BAGALAGUNTE,bagalur,bagalur,Bengaluru Urban,bangalore,Bengaluru North,bangalore north,Kachohalli,665302,938346,299657,11-29-572-05542-612915
76.19047619047619,fuzzy,Dodda Thogur,CHIKKATOGURU,dodda hagade,dodda hagade,Bengaluru Urban,bangalore,Bengaluru South,anekal,Doddathoguru,148268,938419,61401,11-29-572-05545-613313
75.0,fuzzy,Doddagubbi,Doddagubbi (OG),doddabanahalli,doddabanahalli,Bengaluru Urban,bangalore,Bengaluru East,bangalore east,Doddagubbi,148451,613126,61438,11-29-572-05544-613105
80.0,fuzzy,Kannur,Kannur (OG),kannahalli,kannahalli,Bengaluru Urban,bangalore,Bengaluru East,bangalore north,Kannuru,148442,613124,61437,11-29-572-05542-612824
75.0,fuzzy,Hajjargi,HAJJARAGI,dadgi,dadgi,Bidar,bidar,Bidar,bhalki,Kolar (k),588457,923711,60861,11-29-558-05455-599918
80.0,fuzzy,JAFARWADI,JAFFARWADI,,aurad,Bidar,bidar,Basavakalyan,aurad,GUNDUR,664875,923683,60788,11-29-558-05456-803059
83.33333333333334,fuzzy,BARIMALE ESTATE,Barimale Estate,alekhan estate,alekhan estate,CHIKKAMAGALURU,chikmagalur,Mudigere,mudigere,TRIPURA,147737,609937,61317,11-29-570-05531-609925
83.33333333333334,fuzzy,MUSTURUPATNA,MUSTURUPATNA,muthur,muthur,Chikkaballapura,chikkaballapura,Chintamani,sidlaghatta,Batlahalli,664864,926136,62533,11-29-582-05599-624237
