jjm_village_id,jjm_village,jjm_district,jjm_block,jjm_panchayat_id,jjm_panchayat,lgd_village_id,lgd_village,shrid2,shrug_district,shrug_subdistrict,shrug_village,shrug_place,match_score,match_method
665249,YADIYOORU,Bengaluru Urban,YELAHANKA,61391,Bandikodagehalli,925868,YADIYOORU,11-29-572-05542-612850,bangalore,bangalore north,dibburu,dibburu,76.92307692307692,phonetic_lower_threshold
693319,CIKKEMPIHUNDI,CHAMARAJANAGARA,Chamarajanagar,65066,UDIGALA,924932,CIKKEMPIHUNDI,11-29-578-05576-619584,chamarajanagar,gundlupet,hundipura,hundipura,71.42857142857143,phonetic_lower_threshold
652731,DHADADHAHALLI,CHAMARAJANAGARA,Gundlupet,65131,AGATHAGOWDANAHALLI,917623,Dhadadhahalli,11-29-578-05576-619500,chamarajanagar,gundlupet,madahalli,madahalli,94.11764705882352,phonetic_lower_threshold
168753,DODDARAYAPET,CHAMARAJANAGARA,Chamarajanagar,65091,Kudluru,924892,DODDARAYAPETE,11-29-578-05576-619511,chamarajanagar,gundlupet,doddathuppur,doddathuppur,77.77777777777779,phonetic_lower_threshold
664576,GOPALAPURA,CHAMARAJANAGARA,Gundlupet,65126,Kannegala,924967,GOPAALAPURA,11-29-578-05576-619553,chamarajanagar,gundlupet,malapura,malapura,94.11764705882352,phonetic_lower_threshold
665650,HALEPURA,CHAMARAJANAGARA,Chamarajanagar,299760,GOVINDAVADI,917361,HALEPURA,11-29-578-05576-619578,chamarajanagar,gundlupet,hullepura,hullepura,88.88888888888889,phonetic_lower_threshold
168910,HONAKANAPURA,CHAMARAJANAGARA,Gundlupet,65127,KOTEKERE,619452,Bhogganapura,11-29-578-05579-619868,chamarajanagar,kollegal,anapura,anapura,100.0,phonetic_lower_threshold
697273,HULLEPURA,CHAMARAJANAGARA,Chamarajanagar,65088,MANGALA,924903,HULLEPURA,11-29-578-05576-619578,chamarajanagar,gundlupet,hullepura,hullepura,100.0,phonetic_lower_threshold
168817,K.K HUNDI,CHAMARAJANAGARA,Gundlupet,65107,KODASOGE,924977,KADTALKATTIHUNDI,11-29-578-05576-619584,chamarajanagar,gundlupet,hundipura,hundipura,83.33333333333334,phonetic_lower_threshold
664565,KALANAHUNDI,CHAMARAJANAGARA,Gundlupet,65134,BEGUR,926061,KAALANAHUNDY,11-29-578-05577-619699,chamarajanagar,chamarajanagar,kalanahundi,kalanahundi,100.0,phonetic_lower_threshold
