jjm_village_id,jjm_village,jjm_district,jjm_block,jjm_panchayat_id,jjm_panchayat,lgd_village_id,lgd_village
665249,YADIYOORU,Bengaluru Urban,YELAHANKA,61391,Bandikodagehalli,925868,YADIYOORU
693319,CIKKEMPIHUNDI,CHAMARAJANAGARA,Chamarajanagar,65066,UDIGALA,924932,CIKKEMPIHUNDI
652731,DHADADHAHALLI,CHAMARAJANAGARA,Gundlupet,65131,AGATHAGOWDANAHALLI,917623,Dhadadhahalli
168753,DODDARAYAPET,CHAMARAJANAGARA,Chamarajanagar,65091,Kudluru,924892,DODDARAYAPETE
664576,GOPALAPURA,CHAMARAJANAGARA,Gundlupet,65126,Kannegala,924967,GOPAALAPURA
665650,HALEPURA,CHAMARAJANAGARA,Chamarajanagar,299760,GOVINDAVADI,917361,HALEPURA
168910,HONAKANAPURA,CHAMARAJANAGARA,Gundlupet,65127,KOTEKERE,619452,Bhogganapura
697273,HULLEPURA,CHAMARAJANAGARA,Chamarajanagar,65088,MANGALA,924903,HULLEPURA
168817,K.K HUNDI,CHAMARAJANAGARA,Gundlupet,65107,KODASOGE,924977,KADTALKATTIHUNDI
664565,KALANAHUNDI,CHAMARAJANAGARA,Gundlupet,65134,BEGUR,926061,KAALANAHUNDY
168912,KURUBARAHUNDI,CHAMARAJANAGARA,Gundlupet,65127,KOTEKERE,924985,KURUBARA HUNDI
168835,MALLAMMANAHUNDI,CHAMARAJANAGARA,Gundlupet,65110,Kelasur,924974,MALLAMMANA HUNDI
168992,PONNACHI,CHAMARAJANAGARA,Hanuru,65148,PONNACHI,619885,Ponnachi
168826,RANGANATHAPURA,CHAMARAJANAGARA,Gundlupet,65108,NITRE,925001,RANGANATHAPURA
693318,RANGASANDRA,CHAMARAJANAGARA,Chamarajanagar,65080,PUNAJANURU,924919,RANGASANDRA
636936,RANGUPURA,CHAMARAJANAGARA,Gundlupet,65130,HOREYALA,924963,RANGUPURA
702834,SARAGURMOLE,CHAMARAJANAGARA,Chamarajanagar,65075,ALUR,924546,SARAGURMOLE
702835,YDIYOORU,CHAMARAJANAGARA,Chamarajanagar,65088,MANGALA,924901,YDIYOORU
665075,MIDDILU,Chikkaballapura,Gauribidanur,62586,B.BOMMASANDRA,925641,MIDDILU
663938,Garimbilu,Chitradurga,Hosdurga,65299,S NERLAKERE,927537,GARIMBILU
663776,M G Dibba,Chitradurga,Hosdurga,65324,Bokikere,927464,M.G.DIBBA
587769,Neerumarga,Dakshina Kannada,Mangaluru,236263,Neermarga,617510,Neermarga (CT)
661869,AMBATTI,Kodagu,Virajpet,62435,BITTANGALA,924036,AMBATTI
661841,HUDUGURU,Kodagu,Kushalanagar,0,0,923992,HUDUGURU
142933,IRRALAPODU,RAMANAGARA,Kanakapura,59953,Bannimukkodlu,626625,Irlapodu
589906,Dibbanakedi {d),Raichur,Sindhanur,63385,Jawalgera,601156,Dibbanakhed
144885,ANANDADEVANAHALLI,Vijayanagar,HAGARIBOMMANAHALLI,60616,BACHIGUNDANAHALLI,924266,ADAVI ANANDA DEVANAHALLI
144900,ANANDADEVANAHALLI,Vijayanagar,HAGARIBOMMANAHALLI,60621,KADLEBALU,604660,HOSANANDEVANAHALLI
665636,ANEKAL THANDA,Vijayanagar,HAGARIBOMMANAHALLI,299924,MADHURU,917668,ANEKALLU THANDA
144888,BACHIGUNDANAHALLI 2,Vijayanagar,HAGARIBOMMANAHALLI,60616,BACHIGUNDANAHALLI,924267,CHILUGODU
144894,BALLAHUNSI,Vijayanagar,HAGARIBOMMANAHALLI,300092,VALLABHAPURA,604662,Bellahunshi
671295,Basavanadurga,Vijayanagar,Hosapete,60624,NAGENAHALLI,604709,Basavanadurga
144905,BELAGODU,Vijayanagar,Hosapete,60624,NAGENAHALLI,604720,Belagodu
144899,KADLEBALU,Vijayanagar,HAGARIBOMMANAHALLI,60621,KADLEBALU,926648,BYALALU
144976,SEETHARAM THANDA,Vijayanagar,Hosapete,60646,SEETHARAMA THANDA,941959,Seetharama Thanda
