jjm_village_id,jjm_village,jjm_district,jjm_block,jjm_panchayat_id,jjm_panchayat,lgd_village_id,lgd_village
594616,CHIKKAMARALLI,BENGALURU RURAL,Devanhalli,59886,BIJJAVARA,910246,ChikkaMurali
142411,DARGAJOGIHALLI,BENGALURU RURAL,Dodballapur,59894,DARGAJOGIHALLI,625247,Dargajogihalli (OG)
142209,DINNURU,BENGALURU RURAL,Devanhalli,299517,Alooru Duddanahalli,910230,Dinnur
664350,Chikkahanchinal Puk,Bagalkote,Bilagi,59797,Kollur,598509,Chinvalkoppa PU.K
141893,Heggur Rc,Bagalkote,Bilagi,299899,Heggura,598506,Heggur
141504,HIREMURAMATTI,Bagalkote,Bagalkot,59688,Hiregulabal,598809,Hiremuramatti
588589,Lingapur Sr Rc,Bagalkote,Bilagi,299899,Heggura,598507,Lingapur.S.R PU.K
141749,Mamatageri,Bagalkote,Badami,59767,Mamtageri,598704,Mamatageri
702878,GIRENAHALLI,Ballari,Sandur,0,0,924424,GIRENAHALLI
665619,Huchenahalli,Ballari,Sandur,299931,H K Halli,917702,HUCHCHENAHALLI
145106,Jodikasanayakanahalli,Ballari,Sandur,60692,Bommagatta,604980,Jodikasinayakanahalli
661637,Chikkud,Belagavi,Athni,60084,Saptasagar,597308,Chikkud
144609,Gaddikaravinakoppa,Belagavi,Bylahongal,60501,Chikkabagewadi,598062,Gaddikurvinkoppa
143750,Halgimardi,Belagavi,Belagavi,60137,K. K. Koppa,939170,SU HALAGIMARDI
144201,Hebbanatti,Belagavi,Khanapur,60349,Amate,597819,Habbanatti
143726,Kolikoppa,Belagavi,Belagavi,60126,Tarihal,597777,Kolikopp
662242,LAXMESHWAR,Belagavi,MUDALAGI,60270,Sunadholi,597494,Lagameshwar
664307,Managoan,Belagavi,Hukeri,60294,Naganur K D,923727,MANAGOAN
144580,Mattikoppa,Belagavi,Bylahongal,60491,Sutagatti,598039,Mattikoppa
664359,Parakanatti,Belagavi,Hukeri,60320,Mavanur,923725,PARAKANATTI
144521,Turanur,Belagavi,Ramdurg,60470,Turanur,598376,Turanur (Part)
664306,Wadishidlihal,Belagavi,Hukeri,60294,Naganur K D,923728,WADISHIDLIHAL
665183,Bande Hosur,Bengaluru Urban,Bengaluru East,61437,Kannuru,938226,AMANI BAIRATIKHANE
693546,BHEEMANAKUPPE RAMASAGARA,Bengaluru Urban,Bengaluru South,61419,Ramohalli,613014,BHEEMANAKUPPE RAMASAGARA
665556,Byrasandra,Bengaluru Urban,Bengaluru South,61416,Agara,924146,BYRASANDRA
148441,Chikka Gubbi,Bengaluru Urban,Bengaluru East,61437,Kannuru,613125,Chikkagubbi (OG)
665302,Chikkagollarahatti,Bengaluru Urban,Bengaluru North,299657,Kachohalli,938346,BAGALAGUNTE
665469,Chikkakodige Halli,Bengaluru Urban,Bengaluru North,61368,Kodigehalli,939476,VYYALIKAVAL
148268,Dodda Thogur,Bengaluru Urban,Bengaluru South,61401,Doddathoguru,938419,CHIKKATOGURU
148451,Doddagubbi,Bengaluru Urban,Bengaluru East,61438,Doddagubbi,613126,Doddagubbi (OG)
665288,Doddapalya,Bengaluru Urban,Bengaluru North,61373,Huskuru,939406,AGRAHARA THIMMASANDRA
