state,jjm_district,jjm_block,jjm_panchayat_id,jjm_panchayat,jjm_village_id,jjm_village,lgd_village_id,lgd_village,district_from_header,source_file,serial_no,shrug_village_id,shrug_shrid2,shrug_village_name,shrug_district,shrug_subdistrict,shrug_lgd_gp_code,shrug_gp_name
Karnataka,BENGALURU RURAL,Hoskote,59935,NANDAGUDI,142793,A.VADDAHALLY,625553,Agrahara Vaddahalli,BENGALURU RURAL,BENGALURU RURAL.xls,1,625553.0,11-29-583-05604-625553,agrahara vaddahalli,bangalore rural,hosakote,215492.0,Nandagudi
Karnataka,BENGALURU RURAL,Dodballapur,59900,Heggadihalli,142457,ACHARALAHALLY,625058,Acharlahalli,BENGALURU RURAL,BENGALURU RURAL.xls,2,625058.0,11-29-583-05602-625058,acharlahalli,bangalore rural,dod ballapur,215456.0,Heggadihalli
Karnataka,BENGALURU RURAL,Nelamangala,60028,MANNE,143492,ADHIHOSAHALLI,624791,HADIHOSAHALLI,BENGALURU RURAL,BENGALURU RURAL.xls,3,624791.0,11-29-583-05601-624791,adihosahalli,bangalore rural,nelamangala,215586.0,Manne
Karnataka,BENGALURU RURAL,Dodballapur,59892,Bhaktarahalli,142403,ADKAVALA,624996,Adakavala,BENGALURU RURAL,BENGALURU RURAL.xls,4,624996.0,11-29-583-05602-624996,adakavala,bangalore rural,dod ballapur,215448.0,Bhaktarahalli
Karnataka,BENGALURU RURAL,Devanhalli,59888,Chennahalli,142368,AGALAKOTE,625438,Agalakote,BENGALURU RURAL,BENGALURU RURAL.xls,5,625438.0,11-29-583-05603-625438,agalakote,bangalore rural,devanahalli,215431.0,Chennahalli
Karnataka,BENGALURU RURAL,Nelamangala,60020,AGALAKUPPE,143398,AGALAKUPPE,624733,Agalakuppa,BENGALURU RURAL,BENGALURU RURAL.xls,6,624733.0,11-29-583-05601-624733,agalakuppa,bangalore rural,nelamangala,215575.0,Agalakuppe
Karnataka,BENGALURU RURAL,Nelamangala,60012,T. BEGUR,143316,AGASARAHALLI,624894,Agasarahalli,BENGALURU RURAL,BENGALURU RURAL.xls,7,624894.0,11-29-583-05601-624894,agasarahalli,bangalore rural,nelamangala,215593.0,T.Begur
Karnataka,BENGALURU RURAL,Hoskote,299571,HETTAKKI,142645,AGASARAHALLY,625598,Agasarahalli,BENGALURU RURAL,BENGALURU RURAL.xls,8,625598.0,11-29-583-05604-625598,agasarahalli,bangalore rural,hosakote,272724.0,Hettakki
Karnataka,BENGALURU RURAL,Hoskote,59934,MUTHSANDRA,142785,AJAGONDANAHALLY,625735,Ajjagondahalli,BENGALURU RURAL,BENGALURU RURAL.xls,9,625735.0,11-29-583-05604-625735,ajjagondahalli,bangalore rural,hosakote,215491.0,Muthsandra
Karnataka,BENGALURU RURAL,Dodballapur,59914,Sakkare Gollahalli,142584,AKKATHAMMANAHALLY,625171,Akkathammanahalli,BENGALURU RURAL,BENGALURU RURAL.xls,10,625171.0,11-29-583-05602-625171,akkathammanahalli,bangalore rural,dod ballapur,215470.0,Sakkare Gollahalli
