jjm_district,jjm_block,jjm_panchayat,jjm_village,jjm_village_id,jjm_panchayat_id,lgd_village_id,lgd_gp_code,gp_name,shrug_shrid_id,shrug_shrid2,shrug_village_name,exact_village_match
Bagalkote,Bagalkot,Khajidoni,Khajjidoni,141432,59673,598799,215194.0,Khajidoni,598799.0,11-29-556-05447-598799,khajjidoni,True
Bagalkote,Bagalkot,Khajidoni,Ankalagi,141433,59673,598773,215194.0,Khajidoni,598773.0,11-29-556-05447-598773,ankalagi,True
Bagalkote,Bagalkot,Khajidoni,Sharadal,141434,59673,598772,215194.0,Khajidoni,598772.0,11-29-556-05447-598772,sharadal,True
Bagalkote,Bagalkot,Khajidoni,Udagatti,141435,59673,598771,215194.0,Khajidoni,598771.0,11-29-556-05447-598771,udagatti,True
Bagalkote,Bagalkot,Tulasigeri,Tulasigeri,141436,59674,598798,215202.0,Tulasigeri,598798.0,11-29-556-05447-598798,tulasigeri,True
Bagalkote,Bagalkot,DEVANAL,Chikk-sansi,141437,299891,598777,273095.0,Devanal,598777.0,11-29-556-05447-598777,chikk sansi,True
Bagalkote,Bagalkot,DEVANAL,DEVANAL,141439,299891,598778,273095.0,Devanal,598778.0,11-29-556-05447-598778,devanal,True
Bagalkote,Bagalkot,DEVANAL,Hire-sansi,141440,299891,598776,273095.0,Devanal,598776.0,11-29-556-05447-598776,hire sansi,True
Bagalkote,Bagalkot,Chikkshellikeri,Chickka-shellikeri,141441,59675,598801,215187.0,Chikka- Shellikeri,598801.0,11-29-556-05447-598801,chickka shellikeri,True
Bagalkote,Bagalkot,Chikkshellikeri,Hire-shellikeri,141442,59675,598802,215187.0,Chikka- Shellikeri,598802.0,11-29-556-05447-598802,hire shellikeri,True
Bagalkote,Bagalkot,Chikkshellikeri,Kalasakopp,141443,59675,598800,215187.0,Chikka- Shellikeri,598800.0,11-29-556-05447-598800,kalasakopp,True
Bagalkote,Bagalkot,Chikkshellikeri,Govindkopp,141444,59675,598775,215187.0,Chikka- Shellikeri,598775.0,11-29-556-05447-598775,govindkopp,True
Bagalkote,Bagalkot,Kaladagi,Kaladgi,141445,59676,598774,215193.0,Kaladagi,598774.0,11-29-556-05447-598774,kaladgi,True
Bagalkote,Bagalkot,Hallur,Hallur,141446,59677,598850,215189.0,Hallur,598850.0,11-29-556-05447-598850,hallur,True
