sno,district_code,district_name,district_census_2011,district_census_2001,subdistrict_code,subdistrict_name,subdistrict_census_2011,subdistrict_census_2001,lgd_village_code,village_name,village_census_2011,village_census_2001,lgd_gp_code,gp_name
1,524,Bagalkote,556,02,5446,Badami,05446,4,598748,Adagal,598748,00161700,215148.0,Adagal
2,524,Bagalkote,556,02,5446,Badami,05446,4,598647,Agasarakoppa,598647,00151600,215158.0,Huligeri
3,524,Bagalkote,556,02,5446,Badami,05446,4,598713,Aladakatti,598713,00158200,215173.0,Mutalgeri
4,524,Bagalkote,556,02,5446,Badami,05446,4,598724,Alur .S.K.,598724,00159300,273085.0,Alur-Sk
5,524,Bagalkote,556,02,5446,Badami,05446,4,598769,Anantagiri,598769,00163800,215157.0,Hosur
6,524,Bagalkote,556,02,5446,Badami,05446,4,598636,Anawal,598636,00150500,215149.0,Anawal
7,524,Bagalkote,556,02,5446,Badami,05446,4,598741,Bachinagudd,598741,00161000,215180.0,Pattadkal
8,524,Bagalkote,556,02,5446,Badami,05446,4,598750,Badami (Rural) *,598750,00161900,215148.0,Adagal
9,524,Bagalkote,556,02,5446,Badami,05446,4,598632,Bandakeri,598632,00150100,215158.0,Huligeri
10,524,Bagalkote,556,02,5446,Badami,05446,4,598718,Bankaneri,598718,00158700,273092.0,Narasapur
11,524,Bagalkote,556,02,5446,Badami,05446,4,598736,Bedarabudihal,598736,00160500,215155.0,Hansanur
12,524,Bagalkote,556,02,5446,Badami,05446,4,598726,Beeranur,598726,00159500,273085.0,Alur-Sk
13,524,Bagalkote,556,02,5446,Badami,05446,4,598717,Belawalakoppa,598717,00158600,273092.0,Narasapur
14,524,Bagalkote,556,02,5446,Badami,05446,4,598641,Bellikindi,598641,00151000,273089.0,Kainakatti
15,524,Bagalkote,556,02,5446,Badami,05446,4,598766,Belur,598766,00163500,215150.0,Belur
16,524,Bagalkote,556,02,5446,Badami,05446,4,598740,Bhadra Nayakan Jalihal,598740,00160900,215180.0,Pattadkal
17,524,Bagalkote,556,02,5446,Badami,05446,4,598758,Budihal,598758,00162700,215164.0,Kataraki
18,524,Bagalkote,556,02,5446,Badami,05446,4,598735,Chikkamuchalagudda,598735,00160400,215154.0,Halkurki
19,524,Bagalkote,556,02,5446,Badami,05446,4,598755,Chikkanasabi,598755,00162400,215164.0,Kataraki
20,524,Bagalkote,556,02,5446,Badami,05446,4,598709,Chimmanakatti,598709,00157800,215162.0,Kaknur
21,524,Bagalkote,556,02,5446,Badami,05446,4,598654,Chinchalakatti,598654,00152300,215152.0,Fakirbhudihal
22,524,Bagalkote,556,02,5446,Badami,05446,4,598710,Chirlakoppa,598710,00157900,215166.0,Kulageri Cross
23,524,Bagalkote,556,02,5446,Badami,05446,4,598756,Cholachagudda,598756,00162500,215151.0,Cholachagud
24,524,Bagalkote,556,02,5446,Badami,05446,4,598765,Dhanakashirur,598765,00163400,215150.0,Belur
25,524,Bagalkote,556,02,5446,Badami,05446,4,598643,Fakeerabudihal,598643,00151200,215152.0,Fakirbhudihal
26,524,Bagalkote,556,02,5446,Badami,05446,4,598627,Ganganabudihal,598627,00149600,215178.0,Neerbhudihal
