jjm_village_id,jjm_village,jjm_district,lgd_village_id,matched_shrug_id,matched_shrug_name,matched_shrug_district,match_type,match_score
594614,CHIKKA HOSAHALLI,BENGALURU RURAL,910262,613306,chikka hosahalli,bangalore,exact_name,100.0
142441,SRINIVASAPURA,BENGALURU RURAL,625114,624756,srinivasapura,bangalore rural,exact_name,100.0
142765,VENKATAPURA,BENGALURU RURAL,625605,612784,venkatapura,bangalore,exact_name,100.0
143954,Budihal,Belagavi,597497,597134,budihal,belgaum,exact_name,100.0
143724,Chandur,Belagavi,597756,597179,chandur,belgaum,exact_name,100.0
661560,Dharanatti,Belagavi,597701,597696,dharanatti,belgaum,exact_name,100.0
144410,Dhupadal,Belagavi,598228,597442,dhupadal,belgaum,exact_name,100.0
143664,Hulikatti,Belagavi,597778,597482,hulikatti,belgaum,exact_name,100.0
144601,Kallur,Belagavi,598064,598391,kallur,belgaum,exact_name,100.0
144205,Morab,Belagavi,597822,597397,morab,belgaum,exact_name,100.0
662240,Mutnal,Belagavi,597437,597791,mutnal,belgaum,exact_name,100.0
144058,Sultanpur,Belagavi,597607,597411,sultanpur,belgaum,exact_name,100.0
665556,Byrasandra,Bengaluru Urban,924146,624909,byrasandra,bangalore rural,exact_name,100.0
147905,Giddenahalli,Bengaluru Urban,613286,612812,giddenahalli,bangalore,exact_name,100.0
665865,Gollahalli,Bengaluru Urban,924158,612923,gollahalli,bangalore,exact_name,100.0
700197,HOSAHALLI,Bengaluru Urban,612909,613181,hosahalli,bangalore,exact_name,100.0
697341,KODIGEHALLI,Bengaluru Urban,612822,613093,kodigehalli,bangalore,exact_name,100.0
148062,Kodigehalli,Bengaluru Urban,612822,613093,kodigehalli,bangalore,exact_name,100.0
665539,Lakshmipura,Bengaluru Urban,938467,612804,lakshmipura,bangalore,exact_name,100.0
148353,Ramasandra,Bengaluru Urban,613064,613146,ramasandra,bangalore,exact_name,100.0
665565,Vaderahalli,Bengaluru Urban,924154,612772,vaderahalli,bangalore,exact_name,100.0
665285,Veerasandra,Bengaluru Urban,938478,613255,veerasandra,bangalore,exact_name,100.0
145624,Kotgyal,Bidar,599888,600002,kotgyal,bidar,exact_name,100.0
697273,HULLEPURA,CHAMARAJANAGARA,924903,619578,hullepura,chamarajanagar,exact_name,100.0
664565,KALANAHUNDI,CHAMARAJANAGARA,926061,619699,kalanahundi,chamarajanagar,exact_name,100.0
147458,CHANNAPURA,CHIKKAMAGALURU,609160,609319,channapura,chikmagalur,exact_name,100.0
147535,GOLLARAHALLI,CHIKKAMAGALURU,609202,609380,gollarahalli,chikmagalur,exact_name,100.0
665766,HOSAHALLI,CHIKKAMAGALURU,609791,609176,hosahalli,chikmagalur,exact_name,100.0
146955,KURUBARAHALLI,CHIKKAMAGALURU,609503,609315,kurubarahalli,chikmagalur,exact_name,100.0
147498,MAKANAHALLI,CHIKKAMAGALURU,609245,609206,makanahalli,chikmagalur,exact_name,100.0
147649,SIDDARAHALLI,CHIKKAMAGALURU,609223,609152,siddarahalli,chikmagalur,exact_name,100.0
146938,THIPPAGONDANAHALLI,CHIKKAMAGALURU,609482,609294,thippagondanahalli,chikmagalur,exact_name,100.0
154772,GUNDLAHALLI,Chikkaballapura,926163,623343,gundlahalli,chikkaballapura,exact_name,100.0
664947,NALLARALLAHALLI,Chikkaballapura,917236,624067,nallarallahalli,chikkaballapura,exact_name,100.0
665126,THOKALAHALLI,Chikkaballapura,624094,623309,thokalahalli,chikkaballapura,exact_name,100.0
