state,jjm_district,jjm_block,jjm_panchayat_id,jjm_panchayat,jjm_village_id,jjm_village,lgd_village_id,lgd_village,district_from_header,source_file,serial_no,lgd_village_code,lgd_gp_code,gp_name,district_name,subdistrict_name
Karnataka,BENGALURU RURAL,Dodballapur,59894,DARGAJOGIHALLI,142411,DARGAJOGIHALLI,625247,Dargajogihalli (OG),BENGALURU RURAL,BENGALURU RURAL.xls,211,625247.0,,,Bengaluru Rural,Doddaballapura
Karnataka,BENGALURU RURAL,Nelamangala,60019,HONNENAHALLI,698775,KG. SRINIVASAPURA,624756,KG. SRINIVASAPURA,BENGALURU RURAL,BENGALURU RURAL.xls,497,624756.0,,,Bengaluru Rural,Nelamangala
Karnataka,Bagalkote,Mudhol,59749,Laxanatti,141660,JALIKATTI KD,598621,Jalikatti(K.D),Bagalkote,Bagalkote.xls,277,598621.0,,,Bagalkote,Mudhol
Karnataka,Bagalkote,Mudhol,59749,Laxanatti,141661,Jalikatti Bk,598616,Jalikatti(B.K),Bagalkote,Bagalkote.xls,278,598616.0,,,Bagalkote,Mudhol
Karnataka,Belagavi,Gokak,60245,Akkatangerhal,143956,A-devalatti,597492,Arabhavi-Dhavalatti,Belagavi,Belagavi.xls,1,597492.0,,,Belagavi,Gokak
Karnataka,Belagavi,Gokak,60245,Akkatangerhal,143955,Akkatangerhal,597476,Akkatangerahal,Belagavi,Belagavi.xls,15,597476.0,,,Belagavi,Gokak
Karnataka,Belagavi,Gokak,60243,Ankalagi,143950,Ankalagi,597493,Ankalgi,Belagavi,Belagavi.xls,45,597493.0,,,Belagavi,Gokak
Karnataka,Belagavi,NIPPANI,60198,APPACHIWADI,703123,APPACHIWADI,597119,APPACHIWADI,Belagavi,Belagavi.xls,50,,,,,
Karnataka,Belagavi,Gokak,60248,Dhupadal,143963,Dhupadal,597442,Dhupadal,Belagavi,Belagavi.xls,295,597442.0,,,Belagavi,Gokak
Karnataka,Belagavi,Gokak,60245,Akkatangerhal,662228,Dum Urubinatti,597475,Dum Urabinahatti,Belagavi,Belagavi.xls,310,597475.0,,,Belagavi,Gokak
Karnataka,Belagavi,Kagawada,60056,KAGWAD,143620,KAGWAD,597276,Kagawad,Belagavi,Belagavi.xls,581,597276.0,,,Belagavi,Kagwad
Karnataka,Belagavi,Belagavi,60110,Kinye,143735,KUTTALAWADI,597741,Kuttalawadi,Belagavi,Belagavi.xls,745,597741.0,,,Belagavi,Belagavi
Karnataka,Belagavi,Gokak,60243,Ankalagi,143952,Lagameshwar,597523,Lakshmeshwar,Belagavi,Belagavi.xls,746,597523.0,,,Belagavi,Mudalgi
Karnataka,Belagavi,Gokak,60245,Akkatangerhal,143957,Panjanatti,597499,Panjanatti,Belagavi,Belagavi.xls,951,597499.0,,,Belagavi,Gokak
Karnataka,Belagavi,Belagavi,60114,Piranawadi,143704,Piranawadi,597800,Peeranwadi (CT),Belagavi,Belagavi.xls,965,597800.0,,,Belagavi,Belagavi
Karnataka,Belagavi,Yaragatti,60394,Yaragatti,144349,Yaragatti,598176,Yaragatti,Belagavi,Belagavi.xls,1217,598176.0,,,Belagavi,Yaragatti
Karnataka,Bengaluru Urban,Anekal,61335,Suragajakkanahalli,147850,Agasthimmanahalli,613262,CHATRAKHANE,Bengaluru Urban,Bengaluru Urban.xls,13,613262.0,,,Bengaluru Urban,Anekal
Karnataka,Bengaluru Urban,YELAHANKA,61391,Bandikodagehalli,148215,B K PALYA,938495,Arebinnamangala,Bengaluru Urban,Bengaluru Urban.xls,30,938495.0,,,Bengaluru Urban,Yelahanka
Karnataka,Bengaluru Urban,Bengaluru North,61377,Sondekoppa,665383,Baleveerana Halli,612805,K.G.Srikantapura,Bengaluru Urban,Bengaluru Urban.xls,37,612805.0,,,Bengaluru Urban,Bengaluru North
Karnataka,Bengaluru Urban,Bengaluru East,61437,Kannuru,665183,Bande Hosur,938226,AMANI BAIRATIKHANE,Bengaluru Urban,Bengaluru Urban.xls,43,938226.0,,,Bengaluru Urban,Bengaluru East
Karnataka,Bengaluru Urban,Anekal,61339,Indlavadi,665202,Basavanapura,613259,Ramasagara,Bengaluru Urban,Bengaluru Urban.xls,45,613259.0,,,Bengaluru Urban,Anekal
Karnataka,Bengaluru Urban,Bengaluru South,61401,Doddathoguru,148265,Bettadasanapura,613060,Bettadasanapura,Bengaluru Urban,Bengaluru Urban.xls,52,613060.0,,,Bengaluru Urban,Bengaluru South
Karnataka,Bengaluru Urban,Bengaluru South,299653,Channenahalli,665221,Channadasipalya,938427,ARAKERE,Bengaluru Urban,Bengaluru Urban.xls,94,938427.0,,,Bengaluru Urban,Bengaluru South
Karnataka,Bengaluru Urban,Bengaluru North,299657,Kachohalli,665302,Chikkagollarahatti,938346,BAGALAGUNTE,Bengaluru Urban,Bengaluru Urban.xls,105,938346.0,,,Bengaluru Urban,Bengaluru North
Karnataka,Bengaluru Urban,Bengaluru North,61368,Kodigehalli,665469,Chikkakodige Halli,939476,VYYALIKAVAL,Bengaluru Urban,Bengaluru Urban.xls,108,939476.0,,,Bengaluru Urban,Bengaluru North
Karnataka,Bengaluru Urban,Anekal,61335,Suragajakkanahalli,665239,Chinnaiahnapalya,613133,Gollahalli,Bengaluru Urban,Bengaluru Urban.xls,118,613133.0,,,Bengaluru Urban,Anekal
Karnataka,Bengaluru Urban,Anekal,61339,Indlavadi,665201,Choodahalli,613186,Sriramapura,Bengaluru Urban,Bengaluru Urban.xls,124,613186.0,,,Bengaluru Urban,Anekal
Karnataka,Bengaluru Urban,Anekal,61337,Vanakanahalli,147858,Choodenahalli,613258,Andapura,Bengaluru Urban,Bengaluru Urban.xls,126,613258.0,,,Bengaluru Urban,Anekal
Karnataka,Bengaluru Urban,Bengaluru South,61417,K.Gollahalli,148335,Devegere,939479,AGARA (BEGUR HOBLI),Bengaluru Urban,Bengaluru Urban.xls,135,939479.0,,,Bengaluru Urban,Bengaluru South
Karnataka,Bengaluru Urban,Bengaluru South,61403,Konappana Agrahara,148278,Dodda Nagamangala,613056,Doddanagamangala,Bengaluru Urban,Bengaluru Urban.xls,140,613056.0,,,Bengaluru Urban,Bengaluru South
Karnataka,Bengaluru Urban,Bengaluru South,61401,Doddathoguru,148268,Dodda Thogur,938419,CHIKKATOGURU,Bengaluru Urban,Bengaluru Urban.xls,142,938419.0,,,Bengaluru Urban,Bengaluru South
Karnataka,Bengaluru Urban,Bengaluru North,61373,Huskuru,665288,Doddapalya,939406,AGRAHARA THIMMASANDRA,Bengaluru Urban,Bengaluru Urban.xls,149,939406.0,,,Bengaluru Urban,Bengaluru North
Karnataka,Bengaluru Urban,Bengaluru North,61368,Kodigehalli,665474,Gangadipura,938343,VISHVANATHA NAGENAHALLI,Bengaluru Urban,Bengaluru Urban.xls,160,938343.0,,,Bengaluru Urban,Bengaluru North
Karnataka,Bengaluru Urban,Anekal,61333,Samandur,147836,Geritiganabele,613359,Attibele (CT),Bengaluru Urban,Bengaluru Urban.xls,167,613359.0,,,Bengaluru Urban,Anekal
Karnataka,Bengaluru Urban,Bengaluru South,61441,Chunchanakuppe,665578,Gopalanagara,939488,MARENAHALLI ( UTTARAHALLI HOBLI),Bengaluru Urban,Bengaluru Urban.xls,177,939488.0,,,Bengaluru Urban,Bengaluru South
Karnataka,Bengaluru Urban,YELAHANKA,61392,Marenahalli,148227,GOPALPURA,938533,CHIKKABOMMASANDRA,Bengaluru Urban,Bengaluru Urban.xls,179,938533.0,,,Bengaluru Urban,Yelahanka
Karnataka,Bengaluru Urban,Bengaluru South,61403,Konappana Agrahara,148280,Govindashettipalya,938477,AVALAHALLI,Bengaluru Urban,Bengaluru Urban.xls,184,938477.0,,,Bengaluru Urban,Bengaluru South
Karnataka,Bengaluru Urban,Bengaluru South,61441,Chunchanakuppe,148483,Gururayanapura,939493,SONNENAHALLI (KOTLU K.G),Bengaluru Urban,Bengaluru Urban.xls,195,939493.0,,,Bengaluru Urban,Bengaluru South
Karnataka,Bengaluru Urban,Bengaluru South,259828,H. Gollahalli,148320,H. Gollahalli,938480,HOSAKEREHALLI,Bengaluru Urban,Bengaluru Urban.xls,196,938480.0,,,Bengaluru Urban,Bengaluru South
Karnataka,Bengaluru Urban,Anekal,61333,Samandur,147832,Hompalgatta,613264,Banahalli,Bengaluru Urban,Bengaluru Urban.xls,223,613264.0,,,Bengaluru Urban,Anekal
Karnataka,Bengaluru Urban,Anekal,61335,Suragajakkanahalli,147848,Honnakalaspura,613355,Hebbagodi (CT),Bengaluru Urban,Bengaluru Urban.xls,226,613355.0,,,Bengaluru Urban,Anekal
Karnataka,Bengaluru Urban,YELAHANKA,299660,Sathanooru,700197,HOSAHALLI,612909,HOSAHALLI,Bengaluru Urban,Bengaluru Urban.xls,230,612909.0,,,Bengaluru Urban,Bengaluru North
Karnataka,Bengaluru Urban,Bengaluru South,61418,Kumbalagodu,665269,Hosapalya,938458,CHUNCHAGHATTA,Bengaluru Urban,Bengaluru Urban.xls,233,938458.0,,,Bengaluru Urban,Bengaluru South
Karnataka,Bengaluru Urban,Bengaluru North,61368,Kodigehalli,665471,Kannahalli Hosahalli,939475,ULLALU K.G,Bengaluru Urban,Bengaluru Urban.xls,292,939475.0,,,Bengaluru Urban,Bengaluru North
Karnataka,Bengaluru Urban,Bengaluru South,61441,Chunchanakuppe,665567,Karekalpalya,938424,NAGANATHAPURA,Bengaluru Urban,Bengaluru Urban.xls,296,938424.0,,,Bengaluru Urban,Bengaluru South
Karnataka,Bengaluru Urban,Bengaluru North,61368,Kodigehalli,665470,Kodigehalli Harijana Colony,612821,Thirumalapura,Bengaluru Urban,Bengaluru Urban.xls,320,612821.0,,,Bengaluru Urban,Bengaluru North
