state,jjm_district,jjm_block,jjm_panchayat_id,jjm_panchayat,jjm_village_id,jjm_village,lgd_village_id,lgd_village,district_from_header,source_file,serial_no,shrug_village_id,shrug_shrid2,shrug_village_name,shrug_district,shrug_subdistrict,shrug_lgd_gp_code,shrug_gp_name,name_match_shrug_id,name_match_shrug_name,name_match_type,name_match_score,final_shrug_id,final_shrug_name,match_method
Karnataka,BENGALURU RURAL,Devanhalli,59868,NALLURU,588424,ARISINAKUNTE,938780,ARISHINAKUNTE,BENGALURU RURAL,BENGALURU RURAL.xls,41,,,,,,,,,,,,,,unmatched
Karnataka,BENGALURU RURAL,Dodballapur,59894,DARGAJOGIHALLI,142411,DARGAJOGIHALLI,625247,Dargajogihalli (OG),BENGALURU RURAL,BENGALURU RURAL.xls,211,,,,,,,,,,,,,,unmatched
Karnataka,BENGALURU RURAL,Devanhalli,299517,Alooru Duddanahalli,142209,DINNURU,910230,Dinnur,BENGALURU RURAL,BENGALURU RURAL.xls,226,,,,,,,,,,,,,,unmatched
Karnataka,Bagalkote,Bilagi,299899,Heggura,141893,Heggur Rc,598506,Heggur,Bagalkote,Bagalkote.xls,214,,,,,,,,,,,,,,unmatched
Karnataka,Ballari,Sandur,299931,H K Halli,665619,Huchenahalli,917702,HUCHCHENAHALLI,Ballari,Ballari.xls,102,,,,,,,,,,,,,,unmatched
Karnataka,Ballari,Sandur,60692,Bommagatta,145106,Jodikasanayakanahalli,604980,Jodikasinayakanahalli,Ballari,Ballari.xls,113,,,,,,,,,,,,,,unmatched
Karnataka,Belagavi,Athni,60054,Athani (Grameen),143618,Athani Rural,597300,Athani (Rural) (Part),Belagavi,Belagavi.xls,63,,,,,,,,,,,,,,unmatched
Karnataka,Belagavi,Athni,60084,Saptasagar,661637,Chikkud,597308,Chikkud,Belagavi,Belagavi.xls,246,,,,,,,,,,,,,,unmatched
Karnataka,Belagavi,Bylahongal,60501,Chikkabagewadi,144609,Gaddikaravinakoppa,598062,Gaddikurvinkoppa,Belagavi,Belagavi.xls,316,,,,,,,,,,,,,,unmatched
Karnataka,Belagavi,Belagavi,60137,K. K. Koppa,143750,Halgimardi,939170,SU HALAGIMARDI,Belagavi,Belagavi.xls,409,,,,,,,,,,,,,,unmatched
Karnataka,Belagavi,Khanapur,60349,Amate,144201,Hebbanatti,597819,Habbanatti,Belagavi,Belagavi.xls,448,,,,,,,,,,,,,,unmatched
Karnataka,Belagavi,Hukeri,60294,Naganur K D,664307,Managoan,923727,MANAGOAN,Belagavi,Belagavi.xls,793,,,,,,,,,,,,,,unmatched
