state,jjm_district,jjm_block,jjm_panchayat_id,jjm_panchayat,jjm_village_id,jjm_village,lgd_village_id,lgd_village,district_from_header,source_file,serial_no
Karnataka,Raichur,Sindhanur,63385,Jawalgera,160336,Jangamarhatti,601149,Jangamarahatti (D),Raichur,Raichur.xls,376
Karnataka,Raichur,Sindhanur,63385,Jawalgera,699913,JANGAMARHATTI,601149,JANGAMARHATTI,Raichur,Raichur.xls,377
Karnataka,Chitradurga,Hiriyur,65275,DINDAVARA,169650,Lakkenahalli,606201,Lakkanahal,Chitradurga,Chitradurga.xls,580
Karnataka,Chitradurga,Hiriyur,65275,DINDAVARA,696994,LAKKENAHALLY,606201,LAKKENAHALLY,Chitradurga,Chitradurga.xls,582
Karnataka,Shivamogga,Sagar,63494,Gowthamapura,160933,Kamnur,607290,KANNURU,Shivamogga,Shivamogga.xls,720
Karnataka,Shivamogga,Sagar,63494,Gowthamapura,699921,KAMNUR,607290,KAMNUR,Shivamogga,Shivamogga.xls,721
Karnataka,Shivamogga,Shikarpur,63537,Amatekoppa,161158,Shivagikannaya,607831,Kaniya,Shivamogga,Shivamogga.xls,1237
Karnataka,Shivamogga,Shikarpur,63537,Amatekoppa,698250,SHIVAGIKANNAYA,607831,SHIVAGIKANNAYA,Shivamogga,Shivamogga.xls,1238
Karnataka,Bengaluru Urban,Bengaluru North,61373,Huskuru,148089,Bettanagere,612755,AGRAHARA DASARAHALLI K.G,Bengaluru Urban,Bengaluru Urban.xls,55
Karnataka,Bengaluru Urban,Bengaluru North,61373,Huskuru,700899,BETTANAGERE,612755,BETTANAGERE,Bengaluru Urban,Bengaluru Urban.xls,56
Karnataka,Bengaluru Urban,Bengaluru North,61376,KITTANAHALLI,148108,Averahalli,612796,ABBAGERE,Bengaluru Urban,Bengaluru Urban.xls,29
Karnataka,Bengaluru Urban,Bengaluru North,61376,KITTANAHALLI,698785,AVERAHALLI,612796,AVERAHALLI,Bengaluru Urban,Bengaluru Urban.xls,28
Karnataka,Bengaluru Urban,Bengaluru North,61368,Kodigehalli,148062,Kodigehalli,612822,KODIGEHALLI,Bengaluru Urban,Bengaluru Urban.xls,319
Karnataka,Bengaluru Urban,Bengaluru North,61368,Kodigehalli,697341,KODIGEHALLI,612822,KODIGEHALLI,Bengaluru Urban,Bengaluru Urban.xls,318
Karnataka,Bengaluru Urban,YELAHANKA,61385,Rajanukunte,148169,ADDIGANAHALLI,612847,AGRAHARA,Bengaluru Urban,Bengaluru Urban.xls,5
Karnataka,Bengaluru Urban,YELAHANKA,61385,Rajanukunte,698788,ADDIGANAHALLI,612847,ADDIGANAHALLI,Bengaluru Urban,Bengaluru Urban.xls,6
Karnataka,Bengaluru Urban,YELAHANKA,61385,Rajanukunte,148170,RAJANAKUNTE,612848,GOVINDAPURA,Bengaluru Urban,Bengaluru Urban.xls,465
