villageid,villagename,districtid
664142,,213
663690,S H Halli Gollarhatti,213
663693,Dasayyanahatti,213
663743,,213
663776,M G Dibba,213
0,,192
588929,,213
164677,,206
164838,,206
663906,Iyyanahalli Kurubarahatti,213
663938,Garimbilu,213
663923,Rangyanauru,213
663989,Kadambanakatte,213
663970,Erajanahatti,213
664062,Hosuru,213
664099,Myasarahatti,213
167885,,210
664064,Roppa,213
165113,Kalbhag *,206
589284,,213
165674,,206
162844,KITHNAMANGALA AMANIKERE,205
143262,CHITTANAHALLI,613
143007,MURKANI,613
0,,213
589253,,213
588925,,213
164910,,206
150050,,690
150067,,690
142933,IRRALAPODU ,613
163463,VADANAKALLU,205
150136,SANGAM,690
164992,Chitakula,206
169628,,213
143066,KUNURU,613
0,,206
143135,,613
167962,,210
665389,Suranagadde,204
665418,Kesarghatta(be),204
665395,YALAKUNDLI,204
665414,Keluve,204
665431,Kambaduru,204
665447,,204
665402,Tattegundi,204
168061,,210
665393,TORAVAGADU,204
696311,BADADHABAILU,204
665503,,204
0,,189
662242,LAXMESHWAR,189
664307,Managoan,189
661544,,189
170130,Seeneerakatte,213
664306,Wadishidlihal,189
662249,,189
0,,210
0,,208
164248,,205
164280,,205
143040,CHOODAHALLI ,613
661637,Chikkud,189
661585,,189
169202,,213
587746,,189
0,,200
169456,Kitttadahatti,213
0,,613
150328,,690
169737,Alamaradahatti,213
169837,,213
142105,KUNTHURUDODDI,613
143763,,189
143797,,189
155281,,200
142914,DODDAKOPPA ,613
143750,Halgimardi,189
143970,,189
587447,,208
145907,BISALAKOPPA,192
145921,,192
150276,,690
588433,,208
164279,,205
154912,,200
597191,,690
0,,212
155237,,200
144438,,189
169629,,213
144521,Turanur,189
150223,,690
144667,,189
597192,,690
665727,SHAKUNIPURA,193
596564,,193
608453,,193
664472,,193
594847,,193
146012,ARAJUNAGI,192
596277,,193
143973,,189
596550,KACHAPURA,193
0,,193
168753,DODDARAYAPET,212
168817,K.K HUNDI,212
155148,,200
168835,MALLAMMANAHUNDI,212
146101,SIDDAPUR K,192
169115,,213
155697,,200
155704,,200
169086,,212
169515,Garehatti,213
168509,,211
168511,,211
144580,Mattikoppa,189
168706,,212
143621,,189
168575,Kadekar,211
147653,,193
169710,Chinnaiahnahatti,213
143624,,189
168602,,211
168873,,212
168510,,211
143803,,189
168872,,212
168991,,212
168998,,212
143726,Kolikoppa,189
169099,ULLAVARTHI KAVAL,213
143758,,189
168908,,212
169106,,213
143734,,189
156304,,200
169133,,213
145945,,192
168576,Kuthpadi,211
168967,,212
144321,,189
168997,,212
147430,HEBBE,193
155510,,200
169273,,213
169008,,212
169835,,213
143625,,189
164019,MALLASANDRA VOLAGERE KAVAL,205
156302,,200
145950,,192
169020,,212
145968,,192
147737,BARIMALE ESTATE,193
168689,,212
146143,,192
144447,,189
144201,Hebbanatti,189
168727,,212
143808,,189
168775,,212
168782,,212
169627,,213
170103,,213
156282,,200
168744,,212
143974,,189
162035,,205
0,,198
168876,,212
168912,KURUBARAHUNDI,212
169000,,212
168600,,211
144652,,189
168599,,211
168574,Kidiyoor,211
168572,Ambalapadi,211
168415,,211
144444,,189
169044,,212
147442,,193
156198,,200
168724,,212
153638,Chinnakote,200
168824,,212
151089,,198
151271,,198
168992,PONNACHI,212
169024,,212
144460,,189
144609,Gaddikaravinakoppa,189
168770,,212
153639,Kathihalli,200
153641,DEVAGANAHALLI,200
146950,,193
168570,Kelarkalabettu,211
168601,,211
157872,,202
153227,,198
0,,211
158004,MALLARAJAPURA,202
0,,201
168762,,212
168826,RANGANATHAPURA,212
151200,,198
169009,,212
169011,,212
169026,,212
0,,207
168630,,212
151593,,198
168656,,212
589704,,212
157536,,201
589701,,212
589703,,212
589700,,212
636936,RANGUPURA,212
589696,,212
652731,DHADADHAHALLI,212
589697,,212
157590,,201
157640,,201
637640,,212
156311,,200
664751,,212
664576,GOPALAPURA,212
158757,Gobbalikaval,202
665160,,212
664605,,212
664802,,212
665647,,212
664746,,212
664810,,212
665157,,212
693318,RANGASANDRA,212
702835,YDIYOORU,212
693319,CIKKEMPIHUNDI,212
702834,SARAGURMOLE,212
664652,,212
156768,,201
152772,Chikkakondagola,198
0,,202
153065,,198
157035,,201
157036,,201
146654,CHIKKA KALASAPURA,193
589617,,200
153272,,198
589518,,200
589622,,200
589618,,200
589721,,200
589573,,200
589711,,200
589718,,200
589761,,200
589619,,200
589726,,200
589760,,200
589609,,200
589620,,200
153110,,198
589559,,200
589608,,200
589615,,200
589713,,200
589732,Ganeshpur,200
164283,,205
153010,,198
589734,,200
166147,,207
589788,Bangaranatha,200
589582,,200
589723,,200
589744,,200
589712,,200
589714,,200
589731,,200
589780,,200
589612,,200
589614,,200
166401,,207
664240,,200
