villageid,villagename
663690,S H Halli Gollarhatti
663693,Dasayyanahatti
663776,M G Dibba
663906,Iyyanahalli Kurubarahatti
663938,Garimbilu
663923,Rangyanauru
663989,Kadambanakatte
663970,Erajanahatti
664062,Hosuru
664099,Myasarahatti
664064,Roppa
165113,Kalbhag *
162844,KITHNAMANGALA AMANIKERE
143262,CHITTANAHALLI
143007,MURKANI
142933,IRRALAPODU 
163463,VADANAKALLU
150136,SANGAM
164992,Chitakula
143066,KUNURU
665389,Suranagadde
665418,Kesarghatta(be)
665395,YALAKUNDLI
665414,Keluve
665431,Kambaduru
665402,Tattegundi
665393,TORAVAGADU
696311,BADADHABAILU
662242,LAXMESHWAR
664307,Managoan
170130,Seeneerakatte
664306,Wadishidlihal
143040,CHOODAHALLI 
661637,Chikkud
169456,Kitttadahatti
169737,Alamaradahatti
142105,KUNTHURUDODDI
142914,DODDAKOPPA 
143750,Halgimardi
145907,BISALAKOPPA
144521,Turanur
665727,SHAKUNIPURA
146012,ARAJUNAGI
596550,KACHAPURA
168753,DODDARAYAPET
168817,K.K HUNDI
168835,MALLAMMANAHUNDI
146101,SIDDAPUR K
169515,Garehatti
144580,Mattikoppa
168575,Kadekar
169710,Chinnaiahnahatti
143726,Kolikoppa
169099,ULLAVARTHI KAVAL
168576,Kuthpadi
147430,HEBBE
164019,MALLASANDRA VOLAGERE KAVAL
147737,BARIMALE ESTATE
144201,Hebbanatti
168912,KURUBARAHUNDI
168574,Kidiyoor
168572,Ambalapadi
153638,Chinnakote
168992,PONNACHI
144609,Gaddikaravinakoppa
153639,Kathihalli
153641,DEVAGANAHALLI
168570,Kelarkalabettu
158004,MALLARAJAPURA
168826,RANGANATHAPURA
636936,RANGUPURA
652731,DHADADHAHALLI
664576,GOPALAPURA
158757,Gobbalikaval
693318,RANGASANDRA
702835,YDIYOORU
693319,CIKKEMPIHUNDI
702834,SARAGURMOLE
152772,Chikkakondagola
146654,CHIKKA KALASAPURA
589732,Ganeshpur
589788,Bangaranatha
152474,Kattaya Kaval
157942,HALEMANCHAHALLI
637324,bhankur
662333,Seribhiknalli
158635,Ramashettipura
157805,K.r. Sagara
151437,MARATAGERE
159012,Halavara Mata
157985,CHIKKAKUNDURU
158026,IYANAPURA
158011,INURMARIGUDIJUNGLE
149809,Hanchinal
158061,Gundathur
156751,Chamikoppalu
158799,Bettadakaval
157031,Anche Doddi
158884,Lingapura Forest
152526,Ramadadevara Kaval
156773,Ganjigerekoppalu
158874,Anechowkuru
158059,Sundapura
158863,Kathcuvinahalli Jungle
156711,Neethimangala
159193,Earalagudda
148816,Kemminje
382875,Baghaichhera
595383,Shettynayakana Koppalu
148758,Chelairu
590015,Hundimala
664413,Chamundibetta
676017,HOSAMALA
664411,Sathagalli
664401,Hinkal
148738,KUTTETHURU
587769,NEERUMARGA
674495,PADUSHEDDE
152739,Karle Kaval
589906,Dibbanakedi {d)
589902,Lokanaikana Doddi
699917,DURG
700917,HAMPERGUNDI
700924,TAMALGHAT (D)
696053,ANBALKHED
699916,LAXMINARAYANAPURA
700918,YERKAMANDODDI
692037,MANGI GADDE
692040,JAVGUD
700923,JOGALDINNI
700916,CHAPALKI
664359,Parakanatti
589427,Srirampura
661894,BEERUGA
661828,GUDDEHOSURU
661862,CHIKKA ALUVARA
661864,SIDDALINGAPURA
661869,AMBATTI
661768,P PERAJE
144885,ANANDADEVANAHALLI
153385,Sanivarsanthe
144900,ANANDADEVANAHALLI
144905,BELAGODU
145106,Jodikasanayakanahalli
665636,ANEKAL THANDA
665619,Huchenahalli
671295,Basavanadurga
148479,Subbarayappanapalya
148442,Kannur
147915,Hennagara Amanikere
148451,Doddagubbi
148441,Chikka Gubbi
142209,DINNURU 
148268,Dodda Thogur
142411,DARGAJOGIHALLI 
141504,HIREMURAMATTI
164733,AMGA *
665183,Bande Hosur
693389,VITHALPUR
665016,Kasartugaon Wadi
664875,JAFARWADI
664831,Hallikhed(k) Wadi
154721,GANDAMNAGENAHAIIY
595076,Methi Melkunda Wadi
588457,Hajjargi
166656,Aregoppa.
665209,RAJAKSABPALYA
665249,YADIYOORU
665470,Kodigehalli Harijana Colony
665392,Parvathaiahana Palya
665474,Gangadipura
665567,Karekalpalya
594616,CHIKKAMARALLI
664230,Taralabalunagara
595950,Tyavanige Thanda
141893,Heggur Rc
665581,Shikaripalya
665227,Pattareddipalya
665211,Pylvanarapalya
665302,Chikkagollarahatti
161401,Totadakere
665380,Pitaganapalya
665469,Chikkakodige Halli
665269,Hosapalya
665288,Doddapalya
665471,Kannahalli Hosahalli
665556,Byrasandra
665639,Nagegowdanapalya
703119,KUMBALAGODU
665779,TAREMARADAPALYA
588538,KUSUKUNTE KAVAL
165061,Hegde
645720,HADE
701084,SANGAPUR(H)
701085,DADAMATTI
693324,SIDDAPUR K
692353,MUTTALADINNI
167981,NARAGINAKERE
164728,JAMAGA *
146351,KAPANUR
161232,Javagatte
141749,Mamatageri
168015,Didagur
161500,Oddigere
588589,Lingapur Sr Rc
164658,Lakkeguli
664350,Chikkahanchinal Puk
665293,PURADHADODDI
589746,PAPASHASTRI PALYA
164581,Vandige
164600,Bobruwada
163574,KALLUKOTE
164580,Laxmeshwar
607402,RANGACHARIPALYA
664989,CHITTAVALAHALLI
664995,DEVARAKODAHHALLI
664864,MUSTURUPATNA
664984,DIGAVAKOTE
664513,GARUDACHARLAHALLY
665075,MIDDILU
167522,Akali Katte
665134,VANTURU
664535,THEELAKUNTAHALLY
665620,CHANNABYRENAHALLY
696751,OBANNANAHALLI KAVAL
664103,B.hanumanagudda
664330,PANJAIAHNAHATTI
663818,KAMBHATHANAHALLI
663901,Bilichittyanahatti
663933,Ajadnagara
663984,Bangarakkanahalli
663986,Bogalerahatti
663878,Hunasekatti Gollarahatti
664379,Hirekattegere Gollarahatti
664102,B Hanumapura
663993,HULLEHAL GOLLARAHATTI
663732,Doddignahal Hosahatti
663965,MUDDAPURA MYASARAHATTY
663936,H S PALYA
663972,Hidayathpura
664029,Hanumapura S
663797,Akkithimmayanahatti
663510,Kambadevarahatta
663810,Galirangyanahatti
164577,Shirkuli
663991,T.Upparatti
164602,Tenkankeri
664077,Kelagalahatti
