pc11_shrid_id,shrid2,state_name,district_name,subdistrict_name,town_name,village_name,place_name,LGD_code,local_body_name,local_body_type,gp_to_urban_conversion,old_gp_lgd_code,old_gp_name,shrid_part_of_multi_village_GP
597114,11-29-555-05433-597114,karnataka,belgaum,chikodi,,hadnal,hadnal,215779,Appachiwadi,Gram Panchayat,No,NA,NA,Yes
597115,11-29-555-05433-597115,karnataka,belgaum,chikodi,,sulagaon,sulagaon,215779,Appachiwadi,Gram Panchayat,No,NA,NA,Yes
597116,11-29-555-05433-597116,karnataka,belgaum,chikodi,,mattiwade,mattiwade,215779,Appachiwadi,Gram Panchayat,No,NA,NA,Yes
597117,11-29-555-05433-597117,karnataka,belgaum,chikodi,,bhatnaganur,bhatnaganur,215813,Kurli,Gram Panchayat,No,NA,NA,Yes
597118,11-29-555-05433-597118,karnataka,belgaum,chikodi,,kurli,kurli,215813,Kurli,Gram Panchayat,No,NA,NA,Yes
597119,11-29-555-05433-597119,karnataka,belgaum,chikodi,,appachiwadi,appachiwadi,NA,Present in Shrug but Missing from LGD dataset,Present in Shrug but Missing from LGD dataset,NA,NA,NA,NA
597120,11-29-555-05433-597120,karnataka,belgaum,chikodi,,koganoli,koganoli,215810,Koganolli,Gram Panchayat,No,NA,NA,Yes
597121,11-29-555-05433-597121,karnataka,belgaum,chikodi,,hanabarawadi,hanabarawadi,215810,Koganolli,Gram Panchayat,No,NA,NA,Yes
597122,11-29-555-05433-597122,karnataka,belgaum,chikodi,,hanchinal k s,hanchinal k s,215776,Adi,Gram Panchayat,No,NA,NA,Yes
597123,11-29-555-05433-597123,karnataka,belgaum,chikodi,,benadi,benadi,215784,Benadi,Gram Panchayat,No,NA,NA,Yes
597124,11-29-555-05433-597124,karnataka,belgaum,chikodi,,bolewadi,bolewadi,215784,Benadi,Gram Panchayat,No,NA,NA,Yes
597125,11-29-555-05433-597125,karnataka,belgaum,chikodi,,akkol,akkol,215777,Akkol,Gram Panchayat,No,NA,NA,No
597126,11-29-555-05433-597126,karnataka,belgaum,chikodi,,padlihal,padlihal,215814,Lakhanapur,Gram Panchayat,No,NA,NA,Yes
597127,11-29-555-05433-597127,karnataka,belgaum,chikodi,,lakhanapur,lakhanapur,215814,Lakhanapur,Gram Panchayat,No,NA,NA,Yes
597128,11-29-555-05433-597128,karnataka,belgaum,chikodi,,jatrat,jatrat,215799,Jathrat,Gram Panchayat,No,NA,NA,No
597129,11-29-555-05433-597129,karnataka,belgaum,chikodi,,adi,adi,215776,Adi,Gram Panchayat,No,NA,NA,Yes
597130,11-29-555-05433-597130,karnataka,belgaum,chikodi,,bhivashi,bhivashi,215834,Soundalga,Gram Panchayat,No,NA,NA,Yes
597131,11-29-555-05433-597131,karnataka,belgaum,chikodi,,naganur,naganur,215839,Yamagarani,Gram Panchayat,No,NA,NA,Yes
597132,11-29-555-05433-597132,karnataka,belgaum,chikodi,,yamagarni,yamagarni,215839,Yamagarani,Gram Panchayat,No,NA,NA,Yes
597133,11-29-555-05433-597133,karnataka,belgaum,chikodi,,soundalga,soundalga,215834,Soundalga,Gram Panchayat,No,NA,NA,Yes
597134,11-29-555-05433-597134,karnataka,belgaum,chikodi,,budihal,budihal,215839,Yamagarani,Gram Panchayat,No,NA,NA,Yes
597135,11-29-555-05433-597135,karnataka,belgaum,chikodi,,kodni,kodni,215809,Kodani,Gram Panchayat,No,NA,NA,Yes
597136,11-29-555-05433-597136,karnataka,belgaum,chikodi,,gayakanawadi,gayakanawadi,215809,Kodani,Gram Panchayat,No,NA,NA,Yes
597137,11-29-555-05433-597137,karnataka,belgaum,chikodi,,shirguppi,shirguppi,215832,Shiraguppi,Gram Panchayat,No,NA,NA,Yes
597138,11-29-555-05433-597138,karnataka,belgaum,chikodi,,pangeri b,pangeri b,215832,Shiraguppi,Gram Panchayat,No,NA,NA,Yes
597139,11-29-555-05433-597139,karnataka,belgaum,chikodi,,budulmukh,budulmukh,215832,Shiraguppi,Gram Panchayat,No,NA,NA,Yes
597140,11-29-555-05433-597140,karnataka,belgaum,chikodi,,shendur,shendur,215829,Shendur,Gram Panchayat,No,NA,NA,Yes
597141,11-29-555-05433-597141,karnataka,belgaum,chikodi,,gondikuppi,gondikuppi,215829,Shendur,Gram Panchayat,No,NA,NA,Yes
597142,11-29-555-05433-597142,karnataka,belgaum,chikodi,,yarnal,yarnal,215840,Yarnal,Gram Panchayat,No,NA,NA,Yes
597143,11-29-555-05433-597143,karnataka,belgaum,chikodi,,nippani rural,nippani rural,251809,Nipani,City Municipal Council,No,NA,NA,NA
597144,11-29-555-05433-597144,karnataka,belgaum,chikodi,,amalzari,amalzari,215840,Yarnal,Gram Panchayat,No,NA,NA,Yes
597145,11-29-555-05433-597145,karnataka,belgaum,chikodi,,gavan,gavan,215840,Yarnal,Gram Panchayat,No,NA,NA,Yes
597146,11-29-555-05433-597146,karnataka,belgaum,chikodi,,tavadi,tavadi,215840,Yarnal,Gram Panchayat,No,NA,NA,Yes
597147,11-29-555-05433-597147,karnataka,belgaum,chikodi,,manakapur,manakapur,215817,Manakapur,Gram Panchayat,No,NA,NA,Yes
597148,11-29-555-05433-597148,karnataka,belgaum,chikodi,,kasanal,kasanal,215817,Manakapur,Gram Panchayat,No,NA,NA,Yes
597149,11-29-555-05433-597149,karnataka,belgaum,chikodi,,donewadi,donewadi,273233,Doniwadi,Gram Panchayat,No,NA,NA,Yes
597150,11-29-555-05433-597150,karnataka,belgaum,chikodi,,boragaon,boragaon,276583,Boragaon,Town Panchayat,No,NA,NA,NA
597151,11-29-555-05433-597151,karnataka,belgaum,chikodi,,boragaonwadi,boragaonwadi,273233,Doniwadi,Gram Panchayat,No,NA,NA,Yes
597152,11-29-555-05433-597152,karnataka,belgaum,chikodi,,sadalaga rural,sadalaga rural,251810,Sadalgi,Town Municipal Council,Yes,215815,Malikawad,Yes
597153,11-29-555-05433-597153,karnataka,belgaum,chikodi,,janwad,janwad,215798,Janwad,Gram Panchayat,No,NA,NA,No
597154,11-29-555-05433-597154,karnataka,belgaum,chikodi,,shiradwad,shiradwad,215830,Shiradawad,Gram Panchayat,No,NA,NA,No
597155,11-29-555-05433-597155,karnataka,belgaum,chikodi,,karadaga,karadaga,215805,Kardaga,Gram Panchayat,No,NA,NA,No
597156,11-29-555-05433-597156,karnataka,belgaum,chikodi,,barwad,barwad,215781,Barwad,Gram Panchayat,No,NA,NA,No
597157,11-29-555-05433-597157,karnataka,belgaum,chikodi,,mangur,mangur,215818,Mangur,Gram Panchayat,No,NA,NA,No
597158,11-29-555-05433-597158,karnataka,belgaum,chikodi,,kunnur,kunnur,215812,Kunnur,Gram Panchayat,No,NA,NA,Yes
597159,11-29-555-05433-597159,karnataka,belgaum,chikodi,,gajabarwadi,gajabarwadi,215812,Kunnur,Gram Panchayat,No,NA,NA,Yes
597160,11-29-555-05433-597160,karnataka,belgaum,chikodi,,shivapurawadi,shivapurawadi,215812,Kunnur,Gram Panchayat,No,NA,NA,Yes
597161,11-29-555-05433-597161,karnataka,belgaum,chikodi,,bhoj,bhoj,215785,Bhoj,Gram Panchayat,No,NA,NA,No
